Region,cluster_label,urbanisation_degree,education_level,age_class,sex,commute_bin,percentage
France,Mid-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_1_14,24.79
Spain,Low-HO,Total,ISCED 0–2,15-34,female,percentage_1_14,38.95
Latvia,Low-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_1_14,1.01
Ireland,Mid-HO,Total,ISCED 0–2,50-74,female,percentage_1_14,51.38
Romania,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_1_14,23.19
Czechia,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_1_14,22.90
Finland,High-HO,Towns and suburbs,ISCED 3–4,50-74,female,percentage_1_14,6.75
Lithuania,Low-HO,Rural areas,ISCED 5–8,50-74,female,percentage_1_14,33.51
Ireland,Mid-HO,Rural areas,ISCED 5–8,15-34,female,percentage_1_14,24.94
Denmark,High-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_1_14,19.69
Malta,Mid-HO,Total,All ISCED 2011 levels,15-34,male,percentage_1_14,18.83
Hungary,Low-HO,Cities,ISCED 3–4,50-74,female,percentage_1_14,2.42
Poland,Mid-HO,Total,ISCED 3–4,35-49,female,percentage_1_14,46.97
Ireland,Mid-HO,Total,ISCED 5–8,15-34,male,percentage_1_14,20.47
Malta,Mid-HO,Total,All ISCED 2011 levels,35-49,male,percentage_1_14,24.21
Netherlands,High-HO,Towns and suburbs,ISCED 5–8,15-34,female,percentage_1_14,29.01
France,Mid-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_1_14,25.40
Belgium,High-HO,Towns and suburbs,ISCED 5–8,50-74,female,percentage_1_14,24.03
Finland,High-HO,Total,ISCED 5–8,50-74,female,percentage_1_14,24.82
Croatia,Low-HO,Total,All ISCED 2011 levels,15-34,male,percentage_1_14,35.42
Hungary,Low-HO,Towns and suburbs,ISCED 3–4,50-74,female,percentage_1_14,32.57
Austria,Mid-HO,Rural areas,ISCED 3–4,15-34,male,percentage_1_14,33.39
Spain,Low-HO,Total,All ISCED 2011 levels,15-34,male,percentage_1_14,30.19
Slovenia,Mid-HO,Total,All ISCED 2011 levels,15-34,male,percentage_1_14,35.69
Romania,Low-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_1_14,22.99
Netherlands,High-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_1_14,14.82
Finland,High-HO,Total,ISCED 5–8,50-74,male,percentage_1_14,31.56
Belgium,High-HO,Cities,ISCED 3–4,50-74,male,percentage_1_14,2.11
Slovakia,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_1_14,23.67
Lithuania,Low-HO,Total,ISCED 3–4,15-34,male,percentage_1_14,29.82
Denmark,High-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_1_14,29.83
Slovakia,Low-HO,Total,ISCED 5–8,50-74,female,percentage_1_14,27.41
Romania,Low-HO,Total,ISCED 5–8,15-34,male,percentage_1_14,7.96
Slovenia,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_1_14,28.77
Spain,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_1_14,58.02
France,Mid-HO,Cities,ISCED 3–4,35-49,male,percentage_1_14,26.59
Denmark,High-HO,Total,ISCED 3–4,50-74,female,percentage_1_14,27.51
Sweden,High-HO,Total,All ISCED 2011 levels,35-49,female,percentage_1_14,28.58
France,Mid-HO,Total,ISCED 0–2,50-74,male,percentage_1_14,30.36
Slovenia,Mid-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_1_14,28.02
Netherlands,High-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_1_14,28.04
Italy,Low-HO,Cities,ISCED 5–8,15-34,female,percentage_1_14,22.14
Netherlands,High-HO,Rural areas,ISCED 5–8,35-49,male,percentage_1_14,1.85
Finland,High-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_1_14,33.23
Greece,Low-HO,Towns and suburbs,ISCED 3–4,50-74,female,percentage_1_14,7.78
Germany,Mid-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_1_14,32.06
Austria,Mid-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_1_14,30.55
Spain,Low-HO,Cities,ISCED 5–8,50-74,female,percentage_1_14,3.00
Türkiye,Low-HO,No response,ISCED 3–4,35-49,male,percentage_1_14,32.22
Poland,Mid-HO,Rural areas,ISCED 5–8,35-49,male,percentage_1_14,26.43
Bulgaria,Low-HO,Cities,ISCED 3–4,15-34,female,percentage_1_14,12.15
Czechia,Low-HO,Total,All ISCED 2011 levels,15-34,female,percentage_1_14,19.99
Spain,Low-HO,Rural areas,ISCED 3–4,50-74,female,percentage_1_14,64.51
Czechia,Low-HO,Towns and suburbs,ISCED 3–4,35-49,female,percentage_1_14,50.13
Poland,Mid-HO,Rural areas,ISCED 3–4,35-49,female,percentage_1_14,6.55
France,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_1_14,38.53
Slovenia,Mid-HO,Total,ISCED 3–4,15-34,female,percentage_1_14,32.20
Ireland,Mid-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_1_14,37.58
Ireland,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_1_14,5.70
Slovakia,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_1_14,69.95
France,Mid-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_1_14,20.39
Austria,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_1_14,34.59
Italy,Low-HO,Rural areas,ISCED 5–8,50-74,female,percentage_1_14,44.26
Spain,Low-HO,Total,ISCED 5–8,35-49,female,percentage_1_14,30.41
Slovakia,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_1_14,24.41
Austria,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_1_14,6.56
Croatia,Low-HO,Total,ISCED 5–8,15-34,male,percentage_1_14,27.17
Finland,High-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_1_14,34.07
Hungary,Low-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_1_14,10.70
Estonia,Mid-HO,Total,All ISCED 2011 levels,15-34,female,percentage_1_14,40.51
Portugal,Mid-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_1_14,53.64
Cyprus,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_1_14,35.61
Finland,High-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_1_14,37.55
Greece,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_1_14,44.14
Hungary,Low-HO,Total,ISCED 3–4,35-49,female,percentage_1_14,27.05
Spain,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_1_14,27.55
Lithuania,Low-HO,Rural areas,ISCED 3–4,35-49,male,percentage_1_14,27.07
Denmark,High-HO,Cities,ISCED 0–2,15-34,male,percentage_1_14,40.24
Türkiye,Low-HO,Total,ISCED 5–8,50-74,female,percentage_1_14,37.59
Romania,Low-HO,Rural areas,All ISCED 2011 levels,15-34,female,percentage_1_14,31.31
Italy,Low-HO,Towns and suburbs,ISCED 0–2,35-49,female,percentage_1_14,57.48
France,Mid-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_1_14,42.72
Slovenia,Mid-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_1_14,33.78
Hungary,Low-HO,Cities,ISCED 3–4,35-49,female,percentage_1_14,9.23
Italy,Low-HO,Total,ISCED 5–8,50-74,female,percentage_1_14,52.36
Latvia,Low-HO,Total,ISCED 3–4,35-49,female,percentage_1_14,21.13
Croatia,Low-HO,Rural areas,All ISCED 2011 levels,15-34,female,percentage_1_14,38.01
Slovenia,Mid-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_1_14,22.18
Spain,Low-HO,Cities,ISCED 0–2,35-49,male,percentage_1_14,26.88
Belgium,High-HO,Cities,ISCED 3–4,15-34,male,percentage_1_14,28.61
France,Mid-HO,Total,All ISCED 2011 levels,15-34,female,percentage_1_14,24.72
Lithuania,Low-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_1_14,26.61
Netherlands,High-HO,Towns and suburbs,ISCED 0–2,35-49,male,percentage_1_14,37.11
Spain,Low-HO,Cities,ISCED 5–8,15-34,male,percentage_1_14,47.14
Czechia,Low-HO,Rural areas,ISCED 3–4,50-74,male,percentage_1_14,3.58
Denmark,High-HO,Total,ISCED 5–8,15-34,male,percentage_1_14,29.30
Sweden,High-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_1_14,32.53
Latvia,Low-HO,Total,ISCED 3–4,35-49,male,percentage_1_14,14.12
Portugal,Mid-HO,Cities,ISCED 0–2,50-74,male,percentage_1_14,38.54
Spain,Low-HO,Total,ISCED 0–2,50-74,male,percentage_1_14,43.89
Italy,Low-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_1_14,34.03
Romania,Low-HO,Total,ISCED 5–8,50-74,female,percentage_1_14,23.41
Finland,High-HO,Total,ISCED 0–2,15-34,male,percentage_1_14,48.83
Denmark,High-HO,Rural areas,ISCED 3–4,15-34,male,percentage_1_14,34.35
Sweden,High-HO,Total,All ISCED 2011 levels,50-74,male,percentage_1_14,30.83
Netherlands,High-HO,Total,ISCED 3–4,15-34,female,percentage_1_14,36.05
Italy,Low-HO,Cities,ISCED 3–4,15-34,female,percentage_1_14,36.19
Slovenia,Mid-HO,Total,ISCED 5–8,50-74,male,percentage_1_14,23.68
Latvia,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_1_14,18.21
Estonia,Mid-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_1_14,27.55
Netherlands,High-HO,Total,All ISCED 2011 levels,35-49,female,percentage_1_14,27.55
Slovakia,Low-HO,Towns and suburbs,ISCED 5–8,15-34,male,percentage_1_14,18.72
Belgium,High-HO,Total,ISCED 0–2,50-74,male,percentage_1_14,4.37
Poland,Mid-HO,Cities,All ISCED 2011 levels,50-74,male,percentage_1_14,16.90
Romania,Low-HO,Towns and suburbs,ISCED 3–4,50-74,female,percentage_1_14,27.44
Netherlands,High-HO,Rural areas,ISCED 0–2,50-74,female,percentage_1_14,46.53
Slovenia,Mid-HO,Total,ISCED 3–4,50-74,male,percentage_1_14,27.90
Luxembourg,High-HO,Total,All ISCED 2011 levels,35-49,male,percentage_1_14,17.30
Finland,High-HO,Towns and suburbs,ISCED 3–4,35-49,female,percentage_1_14,50.37
Slovakia,Low-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_1_14,16.78
Italy,Low-HO,Rural areas,ISCED 0–2,15-34,female,percentage_1_14,53.04
Greece,Low-HO,Towns and suburbs,ISCED 3–4,35-49,female,percentage_1_14,46.56
Spain,Low-HO,Cities,ISCED 0–2,15-34,male,percentage_1_14,26.74
Croatia,Low-HO,Towns and suburbs,ISCED 3–4,35-49,female,percentage_1_14,33.46
Austria,Mid-HO,Total,ISCED 0–2,35-49,female,percentage_1_14,39.13
Portugal,Mid-HO,Rural areas,ISCED 0–2,15-34,male,percentage_1_14,10.49
Austria,Mid-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_1_14,44.24
Ireland,Mid-HO,Total,ISCED 3–4,35-49,female,percentage_1_14,50.28
Greece,Low-HO,Cities,ISCED 0–2,50-74,male,percentage_1_14,4.55
Romania,Low-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_1_14,26.53
Italy,Low-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_1_14,30.53
Germany,Mid-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_1_14,50.64
Belgium,High-HO,Rural areas,ISCED 3–4,35-49,female,percentage_1_14,32.47
Portugal,Mid-HO,Total,ISCED 5–8,35-49,male,percentage_1_14,31.96
Croatia,Low-HO,Total,ISCED 3–4,50-74,male,percentage_1_14,27.57
Poland,Mid-HO,Cities,ISCED 5–8,15-34,male,percentage_1_14,12.88
Hungary,Low-HO,Total,All ISCED 2011 levels,15-34,female,percentage_1_14,21.94
Hungary,Low-HO,Total,ISCED 5–8,15-34,female,percentage_1_14,18.98
Belgium,High-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_1_14,14.90
Bulgaria,Low-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_1_14,37.21
Austria,Mid-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_1_14,63.77
Netherlands,High-HO,Total,ISCED 3–4,35-49,male,percentage_1_14,3.63
Portugal,Mid-HO,Rural areas,All ISCED 2011 levels,15-34,female,percentage_1_14,46.26
Sweden,High-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_1_14,4.73
Belgium,High-HO,Towns and suburbs,ISCED 5–8,15-34,male,percentage_1_14,14.77
Austria,Mid-HO,Cities,ISCED 5–8,15-34,female,percentage_1_14,2.00
Czechia,Low-HO,Rural areas,ISCED 3–4,15-34,female,percentage_1_14,29.84
Romania,Low-HO,Rural areas,ISCED 3–4,50-74,female,percentage_1_14,39.32
Bulgaria,Low-HO,Total,ISCED 5–8,15-34,male,percentage_1_14,15.52
Bulgaria,Low-HO,Total,All ISCED 2011 levels,15-34,male,percentage_1_14,14.68
Czechia,Low-HO,Total,ISCED 0–2,15-34,male,percentage_1_14,36.13
Romania,Low-HO,Cities,ISCED 3–4,50-74,female,percentage_1_14,1.12
Greece,Low-HO,Total,ISCED 3–4,50-74,male,percentage_1_14,44.07
Germany,Mid-HO,Cities,ISCED 3–4,35-49,male,percentage_1_14,21.92
Portugal,Mid-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_1_14,32.15
Denmark,High-HO,Cities,ISCED 3–4,15-34,male,percentage_1_14,30.17
Finland,High-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_1_14,44.82
Latvia,Low-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_1_14,8.47
Hungary,Low-HO,Towns and suburbs,ISCED 5–8,15-34,female,percentage_1_14,31.68
Belgium,High-HO,Total,ISCED 0–2,35-49,female,percentage_1_14,5.09
Italy,Low-HO,Rural areas,ISCED 0–2,15-34,male,percentage_1_14,47.25
Denmark,High-HO,Rural areas,ISCED 3–4,50-74,male,percentage_1_14,31.09
Cyprus,Low-HO,Total,ISCED 3–4,35-49,male,percentage_1_14,30.87
Spain,Low-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_1_14,38.42
France,Mid-HO,Cities,ISCED 3–4,50-74,female,percentage_1_14,25.01
Belgium,High-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_1_14,28.84
Greece,Low-HO,Total,ISCED 3–4,35-49,female,percentage_1_14,42.10
Italy,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_1_14,45.35
Spain,Low-HO,Cities,ISCED 3–4,50-74,female,percentage_1_14,27.28
Denmark,High-HO,Cities,ISCED 3–4,50-74,male,percentage_1_14,22.58
Malta,Mid-HO,Total,All ISCED 2011 levels,15-34,female,percentage_1_14,22.74
Italy,Low-HO,Rural areas,ISCED 3–4,15-34,female,percentage_1_14,50.75
Slovakia,Low-HO,Total,ISCED 5–8,50-74,male,percentage_1_14,21.06
Croatia,Low-HO,Rural areas,All ISCED 2011 levels,35-49,female,percentage_1_14,31.14
Sweden,High-HO,Total,ISCED 3–4,35-49,male,percentage_1_14,28.19
Hungary,Low-HO,Towns and suburbs,ISCED 5–8,50-74,female,percentage_1_14,38.58
Cyprus,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_1_14,55.26
Austria,Mid-HO,Cities,ISCED 3–4,50-74,female,percentage_1_14,18.94
Greece,Low-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_1_14,27.56
Ireland,Mid-HO,Total,All ISCED 2011 levels,35-49,female,percentage_1_14,24.84
Romania,Low-HO,Cities,ISCED 5–8,35-49,female,percentage_1_14,4.27
Sweden,High-HO,Total,ISCED 5–8,35-49,female,percentage_1_14,23.40
Czechia,Low-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_1_14,16.85
Greece,Low-HO,Total,ISCED 5–8,15-34,male,percentage_1_14,34.23
Lithuania,Low-HO,Total,ISCED 3–4,50-74,female,percentage_1_14,27.75
Portugal,Mid-HO,Towns and suburbs,ISCED 0–2,50-74,male,percentage_1_14,58.35
Czechia,Low-HO,Rural areas,All ISCED 2011 levels,50-74,male,percentage_1_14,35.30
Italy,Low-HO,Cities,ISCED 0–2,15-34,male,percentage_1_14,36.23
Slovakia,Low-HO,Total,All ISCED 2011 levels,50-74,female,percentage_1_14,29.78
Spain,Low-HO,Rural areas,ISCED 5–8,35-49,female,percentage_1_14,37.28
Bulgaria,Low-HO,Total,ISCED 5–8,50-74,female,percentage_1_14,15.99
Greece,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_1_14,40.01
Greece,Low-HO,Total,ISCED 3–4,15-34,male,percentage_1_14,44.26
Türkiye,Low-HO,No response,ISCED 5–8,15-34,male,percentage_1_14,23.88
Netherlands,High-HO,Total,ISCED 3–4,50-74,female,percentage_1_14,4.28
Czechia,Low-HO,Rural areas,ISCED 3–4,50-74,female,percentage_1_14,31.90
Denmark,High-HO,Total,ISCED 5–8,35-49,female,percentage_1_14,24.79
Cyprus,Low-HO,Total,ISCED 5–8,15-34,male,percentage_1_14,32.17
Spain,Low-HO,Total,ISCED 5–8,15-34,female,percentage_1_14,28.46
Spain,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,male,percentage_1_14,40.72
Denmark,High-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_1_14,33.86
Spain,Low-HO,Rural areas,ISCED 5–8,50-74,female,percentage_1_14,37.21
Poland,Mid-HO,Total,ISCED 3–4,35-49,male,percentage_1_14,31.74
Romania,Low-HO,Total,ISCED 5–8,35-49,female,percentage_1_14,18.31
Hungary,Low-HO,Towns and suburbs,ISCED 5–8,15-34,male,percentage_1_14,25.90
Türkiye,Low-HO,Total,ISCED 5–8,15-34,male,percentage_1_14,23.88
Slovakia,Low-HO,Total,ISCED 3–4,50-74,male,percentage_1_14,23.75
Hungary,Low-HO,Towns and suburbs,ISCED 3–4,35-49,male,percentage_1_14,27.67
Austria,Mid-HO,Cities,All ISCED 2011 levels,35-49,female,percentage_1_14,21.06
Slovenia,Mid-HO,Rural areas,ISCED 3–4,50-74,female,percentage_1_14,30.74
Türkiye,Low-HO,No response,All ISCED 2011 levels,35-49,male,percentage_1_14,3.70
Portugal,Mid-HO,Total,ISCED 3–4,35-49,male,percentage_1_14,40.84
Slovenia,Mid-HO,Total,ISCED 5–8,35-49,female,percentage_1_14,24.48
Bulgaria,Low-HO,Total,ISCED 3–4,15-34,male,percentage_1_14,15.55
Denmark,High-HO,Rural areas,All ISCED 2011 levels,15-34,female,percentage_1_14,38.88
Ireland,Mid-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_1_14,18.61
Romania,Low-HO,Cities,ISCED 3–4,50-74,male,percentage_1_14,6.19
Italy,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,female,percentage_1_14,49.49
Belgium,High-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_1_14,27.86
Cyprus,Low-HO,Total,All ISCED 2011 levels,35-49,male,percentage_1_14,33.06
Latvia,Low-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_1_14,18.80
Belgium,High-HO,Rural areas,ISCED 3–4,50-74,female,percentage_1_14,32.78
Bulgaria,Low-HO,Cities,ISCED 3–4,15-34,male,percentage_1_14,10.29
Italy,Low-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_1_14,10.15
Austria,Mid-HO,Total,ISCED 5–8,15-34,male,percentage_1_14,27.06
Bulgaria,Low-HO,Total,ISCED 5–8,35-49,female,percentage_1_14,16.83
Latvia,Low-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_1_14,21.96
Spain,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_1_14,53.70
Austria,Mid-HO,Cities,ISCED 5–8,50-74,male,percentage_1_14,24.79
Estonia,Mid-HO,Cities,All ISCED 2011 levels,15-34,female,percentage_1_14,28.88
Portugal,Mid-HO,Towns and suburbs,ISCED 5–8,15-34,female,percentage_1_14,36.46
Greece,Low-HO,Cities,ISCED 5–8,15-34,male,percentage_1_14,29.49
Portugal,Mid-HO,Cities,ISCED 3–4,15-34,female,percentage_1_14,39.96
Italy,Low-HO,Total,ISCED 5–8,35-49,male,percentage_1_14,30.39
Austria,Mid-HO,Total,All ISCED 2011 levels,35-49,male,percentage_1_14,38.64
Slovakia,Low-HO,Rural areas,ISCED 3–4,35-49,female,percentage_1_14,28.48
Croatia,Low-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_1_14,22.19
Italy,Low-HO,Towns and suburbs,ISCED 0–2,50-74,male,percentage_1_14,47.17
Greece,Low-HO,Cities,ISCED 5–8,35-49,male,percentage_1_14,24.45
Poland,Mid-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_1_14,31.78
Hungary,Low-HO,Total,ISCED 5–8,50-74,male,percentage_1_14,15.40
Latvia,Low-HO,Total,ISCED 5–8,35-49,male,percentage_1_14,1.35
Germany,Mid-HO,Cities,ISCED 5–8,15-34,male,percentage_1_14,25.49
Hungary,Low-HO,Total,ISCED 3–4,35-49,male,percentage_1_14,20.71
Czechia,Low-HO,Total,ISCED 5–8,15-34,male,percentage_1_14,20.58
Sweden,High-HO,Total,ISCED 5–8,15-34,female,percentage_1_14,18.69
Bulgaria,Low-HO,Total,All ISCED 2011 levels,15-34,female,percentage_1_14,24.86
Türkiye,Low-HO,Total,All ISCED 2011 levels,35-49,male,percentage_1_14,3.70
Portugal,Mid-HO,Total,All ISCED 2011 levels,35-49,male,percentage_1_14,37.93
France,Mid-HO,Rural areas,All ISCED 2011 levels,35-49,male,percentage_1_14,4.37
Greece,Low-HO,Total,All ISCED 2011 levels,50-74,male,percentage_1_14,44.76
Poland,Mid-HO,Towns and suburbs,ISCED 5–8,15-34,female,percentage_1_14,52.54
Finland,High-HO,Total,All ISCED 2011 levels,50-74,female,percentage_1_14,30.23
Spain,Low-HO,Rural areas,ISCED 0–2,50-74,male,percentage_1_14,45.68
France,Mid-HO,Total,ISCED 5–8,50-74,female,percentage_1_14,23.44
Greece,Low-HO,Cities,ISCED 5–8,15-34,female,percentage_1_14,56.47
Türkiye,Low-HO,No response,ISCED 0–2,35-49,female,percentage_1_14,50.12
Romania,Low-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_1_14,15.31
Bulgaria,Low-HO,Cities,ISCED 5–8,15-34,male,percentage_1_14,8.52
Austria,Mid-HO,Towns and suburbs,ISCED 5–8,50-74,female,percentage_1_14,55.94
Slovenia,Mid-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_1_14,26.00
Czechia,Low-HO,Towns and suburbs,ISCED 3–4,15-34,male,percentage_1_14,27.63
Belgium,High-HO,Total,ISCED 0–2,15-34,female,percentage_1_14,4.26
Spain,Low-HO,Towns and suburbs,ISCED 5–8,15-34,male,percentage_1_14,59.62
Finland,High-HO,Cities,ISCED 3–4,50-74,female,percentage_1_14,24.71
Denmark,High-HO,Total,ISCED 5–8,50-74,male,percentage_1_14,15.56
Poland,Mid-HO,Cities,All ISCED 2011 levels,50-74,female,percentage_1_14,3.04
Hungary,Low-HO,Towns and suburbs,ISCED 5–8,50-74,male,percentage_1_14,30.99
Italy,Low-HO,Rural areas,ISCED 0–2,35-49,male,percentage_1_14,52.12
Slovenia,Mid-HO,Total,ISCED 5–8,50-74,female,percentage_1_14,33.48
Netherlands,High-HO,Rural areas,ISCED 3–4,50-74,female,percentage_1_14,37.88
Portugal,Mid-HO,Cities,ISCED 3–4,50-74,male,percentage_1_14,34.76
Hungary,Low-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_1_14,38.64
Denmark,High-HO,Cities,All ISCED 2011 levels,15-34,male,percentage_1_14,25.52
Spain,Low-HO,Towns and suburbs,ISCED 0–2,15-34,male,percentage_1_14,40.55
Italy,Low-HO,Cities,ISCED 0–2,50-74,male,percentage_1_14,37.74
Türkiye,Low-HO,No response,ISCED 0–2,15-34,female,percentage_1_14,33.85
Czechia,Low-HO,Total,ISCED 3–4,15-34,female,percentage_1_14,22.20
Slovenia,Mid-HO,Total,ISCED 5–8,15-34,female,percentage_1_14,23.83
Ireland,Mid-HO,Cities,ISCED 3–4,35-49,male,percentage_1_14,19.37
Belgium,High-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_1_14,40.55
Poland,Mid-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_1_14,23.22
Spain,Low-HO,Total,All ISCED 2011 levels,15-34,female,percentage_1_14,30.88
Greece,Low-HO,Total,ISCED 5–8,35-49,female,percentage_1_14,32.68
France,Mid-HO,Rural areas,ISCED 3–4,15-34,female,percentage_1_14,85.33
Portugal,Mid-HO,Cities,ISCED 0–2,15-34,male,percentage_1_14,43.46
Türkiye,Low-HO,No response,ISCED 0–2,50-74,female,percentage_1_14,46.53
Türkiye,Low-HO,Total,ISCED 5–8,35-49,male,percentage_1_14,26.92
Netherlands,High-HO,Towns and suburbs,ISCED 5–8,15-34,male,percentage_1_14,18.29
Portugal,Mid-HO,Towns and suburbs,All ISCED 2011 levels,50-74,female,percentage_1_14,59.73
Finland,High-HO,Rural areas,ISCED 3–4,50-74,female,percentage_1_14,46.50
Türkiye,Low-HO,No response,ISCED 5–8,15-34,female,percentage_1_14,21.83
Greece,Low-HO,Total,All ISCED 2011 levels,35-49,male,percentage_1_14,37.41
Türkiye,Low-HO,Total,All ISCED 2011 levels,35-49,female,percentage_1_14,31.79
Netherlands,High-HO,Total,ISCED 5–8,50-74,female,percentage_1_14,26.56
Greece,Low-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_1_14,59.26
Spain,Low-HO,Total,ISCED 3–4,15-34,male,percentage_1_14,7.74
Croatia,Low-HO,Cities,All ISCED 2011 levels,35-49,male,percentage_1_14,17.95
Belgium,High-HO,Rural areas,ISCED 3–4,50-74,male,percentage_1_14,23.52
Belgium,High-HO,Rural areas,ISCED 5–8,35-49,male,percentage_1_14,12.71
Netherlands,High-HO,Total,All ISCED 2011 levels,50-74,female,percentage_1_14,30.06
Denmark,High-HO,Rural areas,ISCED 5–8,35-49,female,percentage_1_14,28.43
Netherlands,High-HO,Total,All ISCED 2011 levels,50-74,male,percentage_1_14,20.36
France,Mid-HO,Total,All ISCED 2011 levels,50-74,female,percentage_1_14,32.16
Hungary,Low-HO,Rural areas,ISCED 0–2,50-74,male,percentage_1_14,48.12
Germany,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,male,percentage_1_14,35.62
Greece,Low-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_1_14,35.45
Bulgaria,Low-HO,Cities,ISCED 3–4,50-74,male,percentage_1_14,1.23
France,Mid-HO,Towns and suburbs,ISCED 5–8,35-49,female,percentage_1_14,39.48
Germany,Mid-HO,Towns and suburbs,All ISCED 2011 levels,35-49,male,percentage_1_14,28.20
Ireland,Mid-HO,Towns and suburbs,All ISCED 2011 levels,15-34,female,percentage_1_14,43.16
Italy,Low-HO,Rural areas,ISCED 0–2,50-74,female,percentage_1_14,60.27
Netherlands,High-HO,Towns and suburbs,ISCED 3–4,50-74,male,percentage_1_14,32.25
Netherlands,High-HO,Total,ISCED 3–4,50-74,male,percentage_1_14,38.35
Austria,Mid-HO,Rural areas,All ISCED 2011 levels,15-34,male,percentage_1_14,33.74
Czechia,Low-HO,Total,ISCED 5–8,50-74,female,percentage_1_14,23.50
Ireland,Mid-HO,Rural areas,All ISCED 2011 levels,50-74,female,percentage_1_14,31.85
