"percentage_0","percentage_1_14","percentage_15_29","percentage_30_44","percentage_under45","percentage_45_59","percentage_60","percentage_over45","Region","cluster_label","urbanisation_degree","education_level","age_class","sex"
3.22,22.26,46.44,16.31,88.23,4.40,7.38,11.78,Slovakia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",male
0.00,24.91,47.65,23.36,95.92,0.00,4.09,4.09,Bulgaria,Low-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",male
2.52,24.29,33.55,19.30,79.66,6.21,14.12,20.33,Italy,Low-HO,Cities,ISCED 5–8,"15-34",male
0.00,27.88,8.63,56.12,92.63,0.00,7.37,7.37,Lithuania,Low-HO,Cities,All ISCED 2011 levels,"15-34",female
1.72,32.84,32.38,18.48,85.42,5.86,8.73,14.59,Belgium,High-HO,Rural areas,All ISCED 2011 levels,"50-74",female
1.77,5.56,47.66,26.58,81.57,4.53,13.91,18.44,Spain,Low-HO,Total,ISCED 3–4,"15-34",female
0.00,6.64,46.49,32.10,85.23,13.47,1.29,14.76,Finland,High-HO,Rural areas,All ISCED 2011 levels,"15-34",male
0.00,19.46,37.68,31.28,88.42,11.58,0.00,11.58,Croatia,Low-HO,Cities,ISCED 3–4,"50-74",male
0.00,41.26,41.60,17.14,100.00,0.00,0.00,0.00,Sweden,High-HO,Total,ISCED 3–4,"35-49",female
0.00,32.02,39.49,18.47,89.98,1.18,8.84,10.02,Denmark,High-HO,Rural areas,ISCED 5–8,"50-74",female
0.00,40.89,31.79,16.49,89.17,0.00,10.82,10.82,Austria,Mid-HO,Total,ISCED 0–2,"50-74",male
6.49,26.77,24.54,18.36,76.16,8.32,15.52,23.84,Austria,Mid-HO,Rural areas,ISCED 5–8,"35-49",male
2.51,42.77,27.39,14.55,87.22,4.39,8.39,12.78,Spain,Low-HO,Towns and suburbs,ISCED 0–2,"50-74",male
2.18,40.93,32.91,18.31,94.33,4.90,0.77,5.67,Italy,Low-HO,Rural areas,ISCED 5–8,"35-49",female
15.33,28.09,29.28,17.11,89.81,4.65,5.54,10.19,Croatia,Low-HO,Rural areas,All ISCED 2011 levels,"50-74",male
8.49,43.50,5.11,26.26,83.36,9.88,6.76,16.64,Denmark,High-HO,Rural areas,All ISCED 2011 levels,"35-49",female
7.04,17.08,34.60,22.14,80.86,7.26,11.88,19.14,Belgium,High-HO,Cities,ISCED 5–8,"35-49",male
1.30,24.93,39.28,26.52,92.03,7.10,0.87,7.97,Belgium,High-HO,Cities,ISCED 5–8,"50-74",female
0.00,7.46,72.01,20.52,99.99,0.00,0.00,0.00,Cyprus,Low-HO,Total,All ISCED 2011 levels,"50-74",female
16.87,27.63,32.76,22.74,100.00,0.00,0.00,0.00,Ireland,Mid-HO,Rural areas,ISCED 5–8,"50-74",female
0.00,33.60,40.38,25.20,99.18,0.81,0.00,0.81,Greece,Low-HO,Cities,ISCED 5–8,"50-74",female
1.27,25.69,33.77,25.59,86.32,5.52,8.16,13.68,Türkiye,Low-HO,Total,ISCED 3–4,"15-34",male
0.00,9.04,64.89,26.06,99.99,0.00,0.00,0.00,Ireland,Mid-HO,Towns and suburbs,ISCED 3–4,"15-34",female
1.86,39.75,29.28,16.13,87.02,4.06,8.93,12.99,Spain,Low-HO,Rural areas,All ISCED 2011 levels,"35-49",male
3.63,23.11,38.88,3.86,69.48,15.69,14.83,30.52,Czechia,Low-HO,Cities,ISCED 3–4,"50-74",male
3.88,7.31,49.05,22.90,83.14,5.26,11.60,16.86,Italy,Low-HO,Rural areas,ISCED 3–4,"15-34",male
0.00,41.43,26.68,19.08,87.19,6.41,6.41,12.82,Finland,High-HO,Rural areas,ISCED 3–4,"15-34",male
7.97,22.28,28.91,25.44,84.60,5.12,10.28,15.40,Hungary,Low-HO,Total,All ISCED 2011 levels,"50-74",male
0.00,33.53,35.63,19.33,88.49,5.59,5.91,11.50,Germany,Mid-HO,Towns and suburbs,ISCED 3–4,"15-34",female
5.47,31.33,36.27,20.28,93.35,5.90,0.75,6.65,Estonia,Mid-HO,Total,All ISCED 2011 levels,"50-74",male
20.47,8.22,55.87,15.44,100.00,0.00,0.00,0.00,Netherlands,High-HO,Towns and suburbs,ISCED 0–2,"50-74",female
0.00,37.33,45.13,17.55,100.01,0.00,0.00,0.00,Cyprus,Low-HO,Total,ISCED 5–8,"35-49",female
1.29,40.10,28.90,16.38,86.67,4.47,8.86,13.33,Spain,Low-HO,Towns and suburbs,ISCED 0–2,"35-49",male
6.11,26.09,36.25,20.49,88.94,5.77,5.29,11.06,Czechia,Low-HO,Total,All ISCED 2011 levels,"50-74",female
6.85,33.95,47.24,11.96,100.00,0.00,0.00,0.00,Slovakia,Low-HO,Towns and suburbs,ISCED 3–4,"50-74",female
0.00,51.71,39.83,8.46,100.00,0.00,0.00,0.00,Greece,Low-HO,Rural areas,ISCED 3–4,"35-49",male
0.00,5.96,33.42,40.81,80.19,14.55,5.26,19.81,Romania,Low-HO,Cities,ISCED 5–8,"35-49",male
5.85,16.21,36.15,29.67,87.88,4.99,7.14,12.13,Poland,Mid-HO,Total,ISCED 5–8,"15-34",male
11.40,30.72,31.63,17.88,91.63,0.64,7.73,8.37,France,Mid-HO,Rural areas,All ISCED 2011 levels,"50-74",male
13.81,40.69,32.48,13.03,100.01,0.00,0.00,0.00,France,Mid-HO,Total,ISCED 0–2,"50-74",female
3.69,2.18,45.77,34.44,86.08,5.64,8.27,13.91,Poland,Mid-HO,Cities,ISCED 3–4,"15-34",male
0.00,33.66,34.53,21.92,90.11,5.61,4.28,9.89,Finland,High-HO,Total,ISCED 3–4,"15-34",female
0.00,48.25,32.06,19.68,99.99,0.00,0.00,0.00,Ireland,Mid-HO,Towns and suburbs,ISCED 3–4,"15-34",male
7.78,7.02,7.51,55.32,77.63,7.16,15.22,22.38,Poland,Mid-HO,Rural areas,ISCED 5–8,"35-49",female
0.00,6.90,65.40,27.70,100.00,0.00,0.00,0.00,Sweden,High-HO,Rural areas,All ISCED 2011 levels,"15-34",female
0.00,33.01,30.91,20.06,83.98,0.00,16.02,16.02,Croatia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",female
2.45,34.51,33.72,18.58,89.26,5.23,5.50,10.73,Türkiye,Low-HO,Total,ISCED 3–4,"50-74",male
11.94,25.80,23.88,20.47,82.09,1.28,16.63,17.91,Denmark,High-HO,Rural areas,ISCED 5–8,"50-74",male
6.49,3.10,49.22,33.57,92.38,7.62,0.00,7.62,Croatia,Low-HO,Rural areas,ISCED 3–4,"15-34",male
7.67,29.09,34.06,24.21,95.03,3.68,1.29,4.97,Hungary,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",male
0.00,47.81,33.23,18.96,100.00,0.00,0.00,0.00,Austria,Mid-HO,Towns and suburbs,ISCED 3–4,"15-34",female
6.10,18.75,51.19,23.96,100.00,0.00,0.00,0.00,Slovakia,Low-HO,Cities,All ISCED 2011 levels,"50-74",male
10.66,40.75,29.43,12.12,92.96,0.00,7.03,7.03,France,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",female
1.55,37.46,29.42,18.33,86.76,4.14,9.11,13.25,Italy,Low-HO,Total,All ISCED 2011 levels,"35-49",male
0.00,37.08,31.95,16.13,85.16,5.73,9.12,14.85,Denmark,High-HO,Total,ISCED 0–2,"15-34",male
10.73,4.34,5.88,46.34,67.29,1.45,31.26,32.71,Hungary,Low-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",male
9.53,36.19,37.95,2.61,86.28,5.62,8.11,13.73,Croatia,Low-HO,Total,ISCED 3–4,"35-49",male
9.36,12.81,33.49,30.86,86.52,3.30,10.18,13.48,Poland,Mid-HO,Cities,ISCED 5–8,"50-74",male
1.41,52.51,27.18,12.24,93.34,2.17,4.50,6.67,Italy,Low-HO,Rural areas,ISCED 3–4,"35-49",female
0.00,40.15,33.50,26.34,99.99,0.00,0.00,0.00,Austria,Mid-HO,Towns and suburbs,ISCED 0–2,"15-34",male
0.00,24.36,38.28,22.97,85.61,12.30,2.09,14.39,Czechia,Low-HO,Towns and suburbs,ISCED 5–8,"15-34",male
9.76,22.51,32.15,25.00,89.42,8.91,1.67,10.58,Ireland,Mid-HO,Total,All ISCED 2011 levels,"35-49",male
7.93,26.38,28.41,21.40,84.12,8.30,7.56,15.86,Slovenia,Mid-HO,Rural areas,All ISCED 2011 levels,"15-34",female
3.81,34.83,4.54,34.42,77.60,8.95,13.46,22.41,Spain,Low-HO,Total,ISCED 5–8,"15-34",male
0.00,31.06,35.21,20.67,86.94,6.12,6.95,13.07,Romania,Low-HO,Rural areas,ISCED 0–2,"15-34",male
0.00,6.67,64.24,29.09,100.00,0.00,0.00,0.00,Ireland,Mid-HO,Towns and suburbs,ISCED 5–8,"15-34",female
0.00,50.55,36.26,13.19,100.00,0.00,0.00,0.00,Croatia,Low-HO,Rural areas,ISCED 3–4,"15-34",female
11.88,55.67,24.67,7.78,100.00,0.00,0.00,0.00,Romania,Low-HO,Rural areas,ISCED 0–2,"50-74",female
1.34,30.47,35.88,20.20,87.89,4.91,7.20,12.11,Slovenia,Mid-HO,Total,All ISCED 2011 levels,"35-49",male
4.98,18.95,34.12,22.51,80.56,7.72,11.70,19.42,Germany,Mid-HO,Cities,All ISCED 2011 levels,"50-74",male
0.00,22.17,41.09,24.13,87.39,0.00,12.61,12.61,Belgium,High-HO,Cities,ISCED 0–2,"15-34",male
3.01,45.18,30.52,13.16,91.87,5.28,2.85,8.13,Netherlands,High-HO,Cities,ISCED 0–2,"15-34",male
14.56,2.42,34.28,23.41,74.67,10.10,15.22,25.32,Belgium,High-HO,Total,All ISCED 2011 levels,"50-74",male
1.01,47.67,31.52,15.96,96.16,3.22,0.62,3.84,Italy,Low-HO,Total,ISCED 3–4,"15-34",female
1.60,34.26,30.90,18.03,84.79,4.66,10.55,15.21,Italy,Low-HO,Cities,All ISCED 2011 levels,"35-49",female
0.00,14.97,42.99,34.43,92.39,7.61,0.00,7.61,Bulgaria,Low-HO,Cities,ISCED 3–4,"50-74",female
16.59,25.20,25.57,17.50,84.86,7.16,7.98,15.14,Ireland,Mid-HO,Total,ISCED 3–4,"50-74",male
0.00,22.31,32.00,37.07,91.38,0.00,8.62,8.62,Romania,Low-HO,Towns and suburbs,ISCED 5–8,"35-49",male
0.00,26.02,40.10,20.43,86.55,0.00,13.45,13.45,Poland,Mid-HO,Rural areas,ISCED 0–2,"15-34",male
6.81,25.93,30.65,18.85,82.24,8.31,9.46,17.77,Belgium,High-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",female
6.27,2.06,36.69,24.15,69.17,14.08,16.75,30.83,Belgium,High-HO,Cities,ISCED 5–8,"15-34",male
7.67,18.88,32.76,25.82,85.13,7.06,7.80,14.86,Croatia,Low-HO,Cities,All ISCED 2011 levels,"50-74",male
8.61,42.42,4.51,30.53,86.07,0.00,13.93,13.93,Hungary,Low-HO,Total,ISCED 0–2,"50-74",male
0.00,61.76,10.00,7.06,78.82,0.00,21.18,21.18,Belgium,High-HO,Cities,ISCED 0–2,"50-74",male
2.12,26.62,34.35,26.90,89.99,0.54,9.47,10.01,Türkiye,Low-HO,No response,All ISCED 2011 levels,"15-34",male
0.00,2.12,64.02,33.86,100.00,0.00,0.00,0.00,Slovakia,Low-HO,Cities,ISCED 5–8,"35-49",female
1.27,25.69,33.77,25.59,86.32,5.52,8.16,13.68,Türkiye,Low-HO,No response,ISCED 3–4,"15-34",male
0.00,23.07,39.40,31.66,94.13,5.87,0.00,5.87,Finland,High-HO,Cities,ISCED 5–8,"15-34",male
2.30,44.89,24.98,16.58,88.75,2.89,8.36,11.25,Italy,Low-HO,Rural areas,All ISCED 2011 levels,"50-74",male
2.16,36.38,32.21,16.84,87.59,4.01,8.41,12.42,Spain,Low-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",male
3.79,26.00,31.54,19.42,80.75,8.40,10.83,19.23,Netherlands,High-HO,Cities,All ISCED 2011 levels,"15-34",male
0.00,31.93,61.63,2.06,95.62,0.00,4.38,4.38,Slovakia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",male
0.00,31.16,46.23,22.60,99.99,0.00,0.00,0.00,Estonia,Mid-HO,Total,ISCED 5–8,"50-74",male
3.03,29.36,38.36,20.32,91.07,0.62,8.32,8.94,France,Mid-HO,Total,ISCED 3–4,"15-34",male
0.00,6.60,43.60,26.52,76.72,10.61,12.68,23.29,Portugal,Mid-HO,Cities,ISCED 3–4,"35-49",female
6.09,14.95,34.48,32.86,88.38,0.78,10.83,11.61,Poland,Mid-HO,Cities,ISCED 5–8,"35-49",male
0.87,27.95,38.79,17.76,85.37,5.97,8.66,14.63,Netherlands,High-HO,Cities,ISCED 0–2,"50-74",male
1.94,22.69,29.52,28.70,82.85,7.57,9.58,17.15,Hungary,Low-HO,Total,ISCED 3–4,"15-34",female
1.75,53.13,30.51,11.03,96.42,3.03,0.55,3.58,Italy,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",female
0.31,13.49,31.73,34.33,79.86,12.07,8.06,20.13,Czechia,Low-HO,Cities,All ISCED 2011 levels,"15-34",male
0.00,47.24,38.69,14.07,100.00,0.00,0.00,0.00,Greece,Low-HO,Towns and suburbs,ISCED 0–2,"50-74",male
8.46,17.12,47.31,3.46,76.35,14.62,9.04,23.66,Czechia,Low-HO,Cities,ISCED 5–8,"50-74",female
4.84,24.97,31.91,22.84,84.56,6.60,8.83,15.43,Romania,Low-HO,Total,ISCED 0–2,"35-49",male
11.73,46.40,39.47,2.40,100.00,0.00,0.00,0.00,Slovenia,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",female
11.36,26.85,37.18,24.61,100.00,0.00,0.00,0.00,Croatia,Low-HO,Rural areas,ISCED 3–4,"50-74",male
0.00,25.58,41.04,23.61,90.23,6.47,3.30,9.77,Greece,Low-HO,Cities,ISCED 3–4,"35-49",male
0.00,48.19,3.89,35.49,87.57,0.00,12.44,12.44,Hungary,Low-HO,Rural areas,ISCED 0–2,"35-49",male
0.00,33.54,42.33,24.13,100.00,0.00,0.00,0.00,Estonia,Mid-HO,Total,ISCED 5–8,"35-49",female
0.00,18.53,38.98,23.65,81.16,6.95,11.89,18.84,Sweden,High-HO,Cities,All ISCED 2011 levels,"15-34",female
1.97,13.51,37.87,29.71,83.06,10.03,6.91,16.94,Romania,Low-HO,Total,ISCED 3–4,"15-34",male
0.00,29.31,38.80,18.82,86.93,6.10,6.96,13.06,Germany,Mid-HO,Rural areas,All ISCED 2011 levels,"15-34",female
4.45,27.16,36.77,21.55,89.93,5.53,4.53,10.06,Czechia,Low-HO,Total,ISCED 3–4,"35-49",female
0.00,36.64,24.62,18.32,79.58,4.54,15.88,20.42,Spain,Low-HO,Rural areas,ISCED 5–8,"15-34",female
0.00,42.29,39.52,18.19,100.00,0.00,0.00,0.00,France,Mid-HO,Towns and suburbs,ISCED 3–4,"15-34",male
0.00,55.17,4.64,23.94,83.75,8.82,7.43,16.25,Greece,Low-HO,Total,ISCED 5–8,"50-74",male
14.04,31.19,34.29,16.76,96.28,3.26,0.47,3.73,Slovenia,Mid-HO,Total,All ISCED 2011 levels,"50-74",female
24.23,25.22,20.02,14.65,84.12,5.44,10.44,15.88,Ireland,Mid-HO,Rural areas,All ISCED 2011 levels,"50-74",male
5.32,30.95,44.00,4.57,84.84,1.33,13.84,15.17,Romania,Low-HO,Rural areas,ISCED 3–4,"35-49",male
0.00,37.77,44.84,17.39,100.00,0.00,0.00,0.00,Lithuania,Low-HO,Rural areas,ISCED 3–4,"35-49",female
0.00,4.30,34.84,34.84,73.98,13.33,12.69,26.02,Austria,Mid-HO,Rural areas,ISCED 5–8,"15-34",male
0.00,12.10,72.97,14.93,100.00,0.00,0.00,0.00,Greece,Low-HO,Rural areas,All ISCED 2011 levels,"35-49",female
0.00,21.64,28.52,15.74,65.90,21.31,12.79,34.10,Latvia,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",female
0.00,6.73,51.12,42.14,99.99,0.00,0.00,0.00,Croatia,Low-HO,Towns and suburbs,ISCED 3–4,"15-34",male
0.06,45.73,31.66,14.27,91.72,1.66,6.62,8.28,Italy,Low-HO,Towns and suburbs,ISCED 0–2,"35-49",male
0.00,40.67,38.44,20.89,100.00,0.00,0.00,0.00,Belgium,High-HO,Towns and suburbs,ISCED 0–2,"35-49",female
10.86,40.58,38.50,2.72,92.66,0.00,7.35,7.35,Slovenia,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",male
0.00,31.75,43.73,24.51,99.99,0.00,0.00,0.00,Greece,Low-HO,Cities,ISCED 0–2,"35-49",male
7.29,28.83,32.26,24.80,93.18,6.03,0.80,6.83,Türkiye,Low-HO,Total,All ISCED 2011 levels,"15-34",female
0.00,53.75,32.66,13.59,100.00,0.00,0.00,0.00,Portugal,Mid-HO,Towns and suburbs,ISCED 0–2,"35-49",male
6.59,27.99,30.26,25.02,89.86,0.00,10.13,10.13,Portugal,Mid-HO,Total,ISCED 5–8,"15-34",male
3.27,31.76,32.89,22.47,90.39,8.50,1.11,9.61,Denmark,High-HO,Total,All ISCED 2011 levels,"15-34",male
13.02,25.90,45.08,3.12,87.12,1.21,11.67,12.88,France,Mid-HO,Cities,ISCED 5–8,"50-74",female
2.67,35.05,31.74,16.32,85.78,4.19,10.03,14.22,Spain,Low-HO,Total,ISCED 3–4,"50-74",male
0.00,49.86,9.92,8.50,68.28,15.86,15.86,31.72,Bulgaria,Low-HO,Total,ISCED 0–2,"35-49",male
14.29,40.26,42.86,2.60,100.01,0.00,0.00,0.00,Slovenia,Mid-HO,Rural areas,ISCED 3–4,"35-49",female
8.54,19.66,34.03,2.62,64.85,13.87,21.28,35.15,Belgium,High-HO,Total,ISCED 5–8,"15-34",male
12.70,31.79,27.82,17.50,89.81,4.08,6.11,10.19,Türkiye,Low-HO,No response,All ISCED 2011 levels,"35-49",female
0.00,30.56,39.05,18.79,88.40,10.78,0.82,11.60,Finland,High-HO,Rural areas,ISCED 5–8,"50-74",female
5.38,17.27,31.01,22.35,76.01,10.19,13.80,23.99,Netherlands,High-HO,Cities,All ISCED 2011 levels,"35-49",male
5.33,33.67,32.65,16.83,88.48,5.22,6.30,11.52,Germany,Mid-HO,Total,All ISCED 2011 levels,"50-74",female
4.82,34.29,4.94,31.48,75.53,7.81,16.66,24.47,Spain,Low-HO,Cities,ISCED 5–8,"35-49",female
6.69,1.42,32.09,36.18,76.38,9.89,13.74,23.63,Hungary,Low-HO,Cities,All ISCED 2011 levels,"50-74",female
0.00,38.20,30.66,21.15,90.01,8.85,1.15,10.00,Austria,Mid-HO,Towns and suburbs,ISCED 5–8,"15-34",male
1.01,47.95,33.10,1.99,84.05,5.07,10.88,15.95,Spain,Low-HO,Towns and suburbs,All ISCED 2011 levels,"15-34",female
6.04,26.27,33.92,21.35,87.58,6.53,5.88,12.41,Slovenia,Mid-HO,Total,All ISCED 2011 levels,"15-34",female
13.82,34.42,33.88,17.89,100.01,0.00,0.00,0.00,Croatia,Low-HO,Rural areas,ISCED 3–4,"50-74",female
0.00,47.65,23.76,13.26,84.67,10.36,4.97,15.33,Finland,High-HO,Rural areas,ISCED 3–4,"50-74",male
0.00,32.51,46.65,20.84,100.00,0.00,0.00,0.00,Slovakia,Low-HO,Rural areas,ISCED 5–8,"35-49",female
0.00,42.01,31.79,26.20,100.00,0.00,0.00,0.00,Sweden,High-HO,Rural areas,All ISCED 2011 levels,"35-49",male
2.73,33.75,32.08,18.35,86.91,4.26,8.83,13.09,Spain,Low-HO,Total,All ISCED 2011 levels,"35-49",female
0.00,62.76,5.61,31.63,100.00,0.00,0.00,0.00,Finland,High-HO,Total,ISCED 0–2,"35-49",male
6.56,26.51,28.17,20.65,81.89,5.95,12.16,18.11,Ireland,Mid-HO,Rural areas,All ISCED 2011 levels,"15-34",male
4.24,23.47,35.78,20.16,83.65,7.67,8.68,16.35,Belgium,High-HO,Total,All ISCED 2011 levels,"15-34",female
0.00,43.53,28.74,17.36,89.63,0.00,10.38,10.38,Portugal,Mid-HO,Towns and suburbs,ISCED 5–8,"35-49",female
3.08,4.99,49.45,26.99,84.51,8.07,7.43,15.50,Finland,High-HO,Total,ISCED 3–4,"15-34",male
3.48,33.16,29.68,18.56,84.88,5.20,9.92,15.12,Netherlands,High-HO,Towns and suburbs,ISCED 3–4,"15-34",male
3.22,4.20,44.90,26.53,78.85,6.73,14.42,21.15,Spain,Low-HO,Total,All ISCED 2011 levels,"35-49",male
3.59,16.57,32.86,30.85,83.87,11.52,4.62,16.14,Czechia,Low-HO,Cities,All ISCED 2011 levels,"15-34",female
6.20,40.41,27.01,17.90,91.52,2.75,5.72,8.47,Türkiye,Low-HO,Total,ISCED 0–2,"50-74",male
6.62,27.76,32.32,20.98,87.68,6.32,6.01,12.33,Romania,Low-HO,Rural areas,All ISCED 2011 levels,"35-49",female
0.00,20.73,33.23,28.35,82.31,0.00,17.68,17.68,Hungary,Low-HO,Towns and suburbs,ISCED 0–2,"35-49",male
2.29,28.76,34.58,20.12,85.75,6.60,7.64,14.24,Denmark,High-HO,Total,All ISCED 2011 levels,"15-34",female
0.00,31.27,25.25,28.10,84.62,7.22,8.16,15.38,Hungary,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",female
0.00,57.71,24.95,12.47,95.13,0.00,4.87,4.87,Spain,Low-HO,Rural areas,ISCED 3–4,"35-49",female
2.39,56.01,27.89,11.02,97.31,2.10,0.59,2.69,Italy,Low-HO,Total,ISCED 0–2,"50-74",female
3.56,19.55,39.93,26.01,89.05,4.23,6.71,10.94,Slovakia,Low-HO,Rural areas,All ISCED 2011 levels,"15-34",female
0.00,25.96,47.07,26.96,99.99,0.00,0.00,0.00,Sweden,High-HO,Cities,All ISCED 2011 levels,"50-74",male
0.00,30.64,40.50,20.04,91.18,4.83,3.99,8.82,Greece,Low-HO,Cities,ISCED 3–4,"50-74",male
0.00,18.78,35.71,17.99,72.48,10.05,17.46,27.51,Latvia,Low-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",male
1.21,33.38,34.25,22.27,91.11,0.28,8.62,8.90,Italy,Low-HO,Cities,ISCED 0–2,"35-49",male
9.75,28.77,32.25,15.89,86.66,6.17,7.18,13.35,Netherlands,High-HO,Total,ISCED 0–2,"50-74",male
0.00,27.67,37.46,18.22,83.35,0.00,16.65,16.65,Hungary,Low-HO,Towns and suburbs,ISCED 3–4,"15-34",female
0.42,17.70,34.75,27.18,80.05,7.49,12.46,19.95,Germany,Mid-HO,Total,ISCED 5–8,"15-34",female
2.48,24.22,33.85,26.40,86.95,0.00,13.04,13.04,Netherlands,High-HO,Rural areas,ISCED 5–8,"50-74",female
1.74,42.91,28.25,15.28,88.18,3.34,8.48,11.82,Italy,Low-HO,Towns and suburbs,All ISCED 2011 levels,"50-74",male
0.00,24.08,36.45,24.27,84.80,5.57,9.63,15.20,Bulgaria,Low-HO,Rural areas,ISCED 3–4,"35-49",male
3.08,56.11,2.97,20.78,82.94,4.14,12.92,17.06,Italy,Low-HO,Rural areas,ISCED 3–4,"50-74",male
7.27,22.18,28.12,24.97,82.54,5.90,11.57,17.47,Hungary,Low-HO,Rural areas,ISCED 3–4,"35-49",male
0.00,59.53,33.54,6.94,100.01,0.00,0.00,0.00,Greece,Low-HO,Total,ISCED 0–2,"50-74",female
0.00,30.61,63.11,1.89,95.61,0.00,4.39,4.39,Bulgaria,Low-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",female
0.00,5.57,36.08,41.75,83.40,11.62,4.98,16.60,Romania,Low-HO,Cities,All ISCED 2011 levels,"35-49",male
3.22,25.33,37.01,24.05,89.61,5.74,4.65,10.39,Finland,High-HO,Cities,All ISCED 2011 levels,"15-34",male
12.23,17.97,30.83,17.35,78.38,6.79,14.84,21.63,Belgium,High-HO,Cities,ISCED 5–8,"50-74",male
8.08,20.61,32.35,23.17,84.21,5.06,10.73,15.79,Poland,Mid-HO,Total,ISCED 5–8,"50-74",male
7.92,5.83,44.33,28.03,86.11,5.18,8.71,13.89,Türkiye,Low-HO,No response,All ISCED 2011 levels,"50-74",male
0.00,4.55,73.15,4.15,81.85,10.63,7.52,18.15,Greece,Low-HO,Cities,All ISCED 2011 levels,"35-49",male
16.71,3.18,27.06,22.28,69.23,0.00,30.77,30.77,Ireland,Mid-HO,Towns and suburbs,ISCED 5–8,"35-49",male
6.44,17.42,34.54,28.53,86.93,9.02,4.05,13.07,Czechia,Low-HO,Cities,ISCED 3–4,"50-74",female
0.00,13.12,40.10,30.69,83.91,13.86,2.23,16.09,Czechia,Low-HO,Rural areas,ISCED 5–8,"15-34",female
8.02,4.01,45.43,29.62,87.08,12.92,0.00,12.92,Finland,High-HO,Rural areas,ISCED 5–8,"35-49",female
0.00,42.94,30.60,14.34,87.88,5.51,6.61,12.12,Italy,Low-HO,Towns and suburbs,ISCED 5–8,"50-74",female
0.00,10.62,58.62,5.76,75.00,18.11,6.89,25.00,Romania,Low-HO,Cities,All ISCED 2011 levels,"15-34",female
0.00,32.11,54.31,3.39,89.81,0.00,10.18,10.18,Estonia,Mid-HO,Cities,All ISCED 2011 levels,"50-74",female
0.00,24.84,32.64,29.51,86.99,0.00,13.01,13.01,Germany,Mid-HO,Towns and suburbs,ISCED 5–8,"15-34",female
0.00,59.33,33.48,7.20,100.01,0.00,0.00,0.00,Greece,Low-HO,Rural areas,All ISCED 2011 levels,"50-74",male
5.18,42.80,28.26,12.68,88.92,6.99,4.09,11.08,Austria,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",female
0.00,21.67,36.91,27.25,85.83,0.00,14.16,14.16,Poland,Mid-HO,Cities,ISCED 0–2,"15-34",male
3.42,29.82,39.65,17.00,89.89,2.70,7.42,10.12,Poland,Mid-HO,Towns and suburbs,All ISCED 2011 levels,"35-49",female
7.19,28.30,32.76,18.63,86.88,4.64,8.49,13.13,Türkiye,Low-HO,Total,ISCED 3–4,"35-49",female
0.00,23.51,50.87,20.25,94.63,0.00,5.37,5.37,Slovakia,Low-HO,Towns and suburbs,ISCED 3–4,"35-49",male
8.15,25.28,38.39,3.15,74.97,11.58,13.46,25.04,Germany,Mid-HO,Total,ISCED 5–8,"35-49",male
0.00,46.13,36.19,17.68,100.00,0.00,0.00,0.00,Austria,Mid-HO,Rural areas,ISCED 0–2,"15-34",male
0.00,27.99,33.88,23.36,85.23,7.44,7.33,14.77,Greece,Low-HO,Cities,All ISCED 2011 levels,"15-34",female
1.35,24.15,31.81,22.49,79.80,9.22,10.98,20.20,Ireland,Mid-HO,Total,ISCED 5–8,"50-74",female
9.02,32.62,42.30,16.07,100.01,0.00,0.00,0.00,Croatia,Low-HO,Rural areas,ISCED 3–4,"35-49",female
0.00,31.52,38.40,19.10,89.02,0.00,10.98,10.98,France,Mid-HO,Cities,ISCED 3–4,"35-49",female
15.70,41.69,4.70,27.32,89.41,9.35,1.23,10.58,Belgium,High-HO,Total,All ISCED 2011 levels,"50-74",female
0.00,64.66,5.90,29.44,100.00,0.00,0.00,0.00,France,Mid-HO,Total,ISCED 0–2,"35-49",female
21.13,24.40,24.84,20.26,90.63,0.00,9.37,9.37,Netherlands,High-HO,Rural areas,ISCED 0–2,"50-74",male
2.54,30.05,35.62,20.86,89.07,5.05,5.88,10.93,Türkiye,Low-HO,Total,ISCED 5–8,"50-74",male
5.39,29.08,33.47,23.49,91.43,5.44,3.13,8.57,Romania,Low-HO,Total,All ISCED 2011 levels,"50-74",female
5.35,36.00,34.94,17.37,93.66,0.59,5.75,6.34,Finland,High-HO,Total,ISCED 3–4,"50-74",female
6.60,28.41,38.18,22.03,95.22,0.32,4.46,4.78,Poland,Mid-HO,Total,All ISCED 2011 levels,"50-74",female
