Region,0,1-14,15-29,30-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
Ireland,,11.0,106.0,66.0,,41.0,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Greece,,23.0,25.0,168.0,,46.0,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Spain,,1107.0,1008.0,862.0,432.0,83.0,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
France,,808.0,1099.0,894.0,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Croatia,,69.0,44.0,77.0,57.0,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Italy,,1073.0,1039.0,695.0,37.0,103.0,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Cyprus,,46.0,55.0,,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Latvia,,36.0,36.0,41.0,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Lithuania,,49.0,39.0,,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Luxembourg,,,,,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Hungary,,166.0,163.0,111.0,94.0,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Malta,,,,43.0,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Netherlands,9.0,266.0,58.0,569.0,15.0,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Austria,,227.0,208.0,198.0,58.0,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Poland,,826.0,91.0,437.0,218.0,98.0,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Portugal,,241.0,254.0,228.0,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Romania,,107.0,305.0,181.0,,109.0,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Slovenia,,48.0,52.0,65.0,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Slovakia,,104.0,209.0,79.0,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Finland,,118.0,122.0,63.0,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Sweden,,295.0,505.0,253.0,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Iceland,,,,,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Norway,,184.0,153.0,135.0,69.0,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Switzerland,35.0,259.0,38.0,438.0,254.0,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
United Kingdom,267.0,1578.0,2008.0,2113.0,1003.0,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
Türkiye,,,,,,,Sheet 66,ISCED 5–8,Towns and suburbs,15-34,Female
European_Union_27_countries_from_2020,4361.0,30893.0,3187.0,25051.0,883.0,2557.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
European_Union_29_countries_from_2013-2020,6086.0,35804.0,37809.0,30869.0,11439.0,2761.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Euro_area_19_countries_2015-2022,3753.0,24422.0,23279.0,19931.0,6935.0,195.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Belgium,387.0,1369.0,1881.0,1961.0,76.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Bulgaria,,354.0,606.0,227.0,,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Czechia,88.0,478.0,709.0,50.0,168.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Denmark,74.0,334.0,479.0,447.0,119.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Germany,1272.0,5215.0,5189.0,5433.0,1738.0,863.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Estonia,,111.0,75.0,74.0,,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Ireland,66.0,341.0,335.0,238.0,126.0,112.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Greece,,875.0,804.0,52.0,68.0,147.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Spain,379.0,4535.0,3658.0,2576.0,1154.0,227.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
France,695.0,3307.0,3208.0,2977.0,996.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Croatia,,229.0,261.0,177.0,81.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Italy,199.0,4269.0,329.0,2291.0,1013.0,253.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Cyprus,,117.0,106.0,42.0,,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Latvia,,95.0,121.0,121.0,63.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Lithuania,,148.0,177.0,74.0,,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Luxembourg,,,49.0,66.0,,65.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Hungary,125.0,677.0,692.0,457.0,284.0,74.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Malta,,,52.0,69.0,,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Netherlands,382.0,1079.0,1589.0,1577.0,397.0,41.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Austria,86.0,767.0,545.0,55.0,14.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Poland,228.0,2684.0,3409.0,1698.0,689.0,24.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Portugal,,928.0,678.0,54.0,18.0,13.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Romania,,415.0,863.0,518.0,145.0,219.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Slovenia,,22.0,231.0,222.0,46.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Slovakia,,363.0,61.0,182.0,76.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Finland,68.0,624.0,68.0,418.0,106.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Sweden,,1299.0,157.0,1097.0,358.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Iceland,,46.0,,,,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Norway,56.0,676.0,583.0,431.0,187.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Switzerland,237.0,901.0,1144.0,1265.0,57.0,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
United Kingdom,1725.0,4911.0,5939.0,5818.0,2609.0,204.0,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
Türkiye,,,,,,,Sheet 67,ISCED 5–8,Towns and suburbs,15-74,Female
European_Union_27_countries_from_2020,4173.0,30419.0,31567.0,24754.0,8793.0,2532.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
European_Union_29_countries_from_2013-2020,574.0,35197.0,37387.0,30527.0,1136.0,2725.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Euro_area_19_countries_2015-2022,358.0,24002.0,23079.0,19702.0,6922.0,1932.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Belgium,375.0,1366.0,1878.0,1956.0,76.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Bulgaria,,345.0,585.0,222.0,,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Czechia,85.0,468.0,699.0,486.0,167.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Denmark,67.0,326.0,474.0,441.0,119.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Germany,1221.0,502.0,508.0,5333.0,1738.0,85.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Estonia,,10.0,7.0,7.0,,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Ireland,6.0,335.0,332.0,238.0,125.0,111.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Greece,,873.0,794.0,519.0,68.0,145.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Spain,373.0,4513.0,3655.0,2537.0,1154.0,227.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
France,644.0,3297.0,3208.0,296.0,996.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Croatia,,224.0,261.0,177.0,81.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Italy,188.0,4192.0,3268.0,2254.0,1008.0,253.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Cyprus,,116.0,106.0,42.0,,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Latvia,,88.0,118.0,121.0,59.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Lithuania,,143.0,171.0,74.0,,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Luxembourg,,,49.0,66.0,,65.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Hungary,119.0,658.0,689.0,453.0,279.0,7.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Malta,,,52.0,69.0,,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Netherlands,372.0,1031.0,158.0,1561.0,396.0,41.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Austria,79.0,759.0,544.0,544.0,14.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Poland,228.0,2684.0,3383.0,1698.0,685.0,24.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Portugal,,92.0,674.0,539.0,18.0,128.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Romania,,412.0,861.0,509.0,145.0,219.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Slovenia,,216.0,23.0,221.0,46.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Slovakia,,358.0,601.0,182.0,76.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Finland,63.0,616.0,67.0,416.0,105.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Sweden,,1299.0,1536.0,1066.0,349.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Iceland,,46.0,,,,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Norway,56.0,646.0,578.0,424.0,183.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Switzerland,221.0,879.0,1121.0,1257.0,566.0,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
United Kingdom,1567.0,4779.0,582.0,5773.0,2567.0,193.0,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
Türkiye,,,,,,,Sheet 68,ISCED 5–8,Towns and suburbs,20-64,Female
European_Union_27_countries_from_2020,2026.0,13847.0,13859.0,11289.0,3804.0,973.0,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
European_Union_29_countries_from_2013-2020,2795.0,15721.0,1620.0,13637.0,4852.0,1047.0,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Euro_area_19_countries_2015-2022,166.0,10858.0,9684.0,8791.0,2904.0,664.0,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Belgium,157.0,59.0,761.0,864.0,345.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Bulgaria,,173.0,284.0,105.0,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Czechia,58.0,198.0,332.0,195.0,82.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Denmark,,171.0,212.0,173.0,45.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Germany,585.0,1816.0,1832.0,2137.0,582.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Estonia,,43.0,,,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Ireland,,171.0,161.0,131.0,7.0,54.0,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Greece,,381.0,361.0,251.0,,64.0,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Spain,253.0,2331.0,1777.0,1209.0,497.0,97.0,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
France,,1619.0,1354.0,1488.0,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Croatia,,75.0,159.0,66.0,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Italy,136.0,2034.0,1423.0,1059.0,463.0,12.0,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Cyprus,,47.0,38.0,,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Latvia,,35.0,4.0,46.0,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Lithuania,,38.0,57.0,,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Luxembourg,,,,,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Hungary,65.0,292.0,366.0,25.0,124.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Malta,,,,,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Netherlands,132.0,439.0,632.0,636.0,14.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Austria,5.0,314.0,219.0,245.0,51.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Poland,147.0,1305.0,1809.0,988.0,421.0,142.0,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Portugal,,474.0,313.0,248.0,113.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Romania,,233.0,408.0,255.0,,85.0,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Slovenia,,10.0,124.0,103.0,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Slovakia,,154.0,246.0,67.0,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Finland,,247.0,277.0,18.0,55.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Sweden,,541.0,605.0,466.0,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Iceland,,,,,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Norway,,294.0,251.0,168.0,69.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Switzerland,116.0,385.0,379.0,551.0,193.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
United Kingdom,768.0,1874.0,2341.0,2348.0,1048.0,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
Türkiye,,,,,,,Sheet 69,ISCED 5–8,Towns and suburbs,35-49,Female
European_Union_27_countries_from_2020,1646.0,9381.0,8541.0,6264.0,2084.0,624.0,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
European_Union_29_countries_from_2013-2020,2336.0,1084.0,10133.0,762.0,2642.0,672.0,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Euro_area_19_countries_2015-2022,1496.0,7619.0,6474.0,504.0,172.0,55.0,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Belgium,157.0,365.0,446.0,501.0,185.0,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Bulgaria,,118.0,197.0,81.0,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Czechia,,156.0,179.0,118.0,39.0,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Denmark,,92.0,169.0,16.0,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Germany,583.0,2384.0,2023.0,1859.0,624.0,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Estonia,,46.0,38.0,,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Ireland,,6.0,68.0,41.0,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Greece,,264.0,193.0,101.0,,38.0,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Spain,108.0,1097.0,873.0,504.0,225.0,46.0,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
France,,88.0,755.0,594.0,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Croatia,,85.0,57.0,,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Italy,,1162.0,828.0,537.0,179.0,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Cyprus,,,,,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Latvia,,,45.0,,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Lithuania,,61.0,81.0,,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Luxembourg,,,,,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Hungary,49.0,218.0,164.0,96.0,66.0,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Malta,,,,,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Netherlands,161.0,374.0,377.0,373.0,107.0,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Austria,,226.0,117.0,107.0,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Poland,,554.0,691.0,273.0,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Portugal,,212.0,111.0,,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Romania,,75.0,15.0,83.0,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Slovenia,,72.0,56.0,54.0,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Slovakia,,105.0,155.0,,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Finland,42.0,259.0,281.0,175.0,38.0,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Sweden,,463.0,46.0,378.0,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Iceland,,,,,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Norway,,198.0,179.0,128.0,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Switzerland,85.0,257.0,385.0,276.0,124.0,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
United Kingdom,69.0,1459.0,1591.0,1356.0,558.0,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
Türkiye,,,,,,,Sheet 70,ISCED 5–8,Towns and suburbs,50-74,Female
European_Union_27_countries_from_2020,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
European_Union_29_countries_from_2013-2020,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Euro_area_19_countries_2015-2022,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Belgium,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Bulgaria,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Czechia,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Denmark,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Germany,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Estonia,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Ireland,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Greece,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Spain,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
France,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Croatia,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Italy,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Cyprus,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Latvia,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Lithuania,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Luxembourg,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Hungary,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Malta,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Netherlands,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Austria,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Poland,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Portugal,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Romania,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Slovenia,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Slovakia,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Finland,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Sweden,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Iceland,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Norway,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Switzerland,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
United Kingdom,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
Türkiye,,,,,,,Sheet 71,No response,Towns and suburbs,15-34,Female
European_Union_27_countries_from_2020,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
European_Union_29_countries_from_2013-2020,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Euro_area_19_countries_2015-2022,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Belgium,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Bulgaria,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Czechia,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Denmark,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Germany,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Estonia,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Ireland,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Greece,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Spain,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
France,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Croatia,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Italy,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Cyprus,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Latvia,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Lithuania,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Luxembourg,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Hungary,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Malta,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Netherlands,,39.0,4.0,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Austria,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Poland,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Portugal,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Romania,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Slovenia,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Slovakia,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Finland,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Sweden,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Iceland,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Norway,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Switzerland,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
United Kingdom,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
Türkiye,,,,,,,Sheet 72,No response,Towns and suburbs,15-74,Female
European_Union_27_countries_from_2020,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
European_Union_29_countries_from_2013-2020,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Euro_area_19_countries_2015-2022,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Belgium,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Bulgaria,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Czechia,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Denmark,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Germany,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Estonia,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Ireland,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Greece,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Spain,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
France,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Croatia,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Italy,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Cyprus,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Latvia,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Lithuania,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Luxembourg,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Hungary,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Malta,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Netherlands,,39.0,4.0,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Austria,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Poland,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Portugal,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Romania,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Slovenia,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Slovakia,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Finland,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Sweden,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Iceland,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Norway,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Switzerland,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
United Kingdom,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
Türkiye,,,,,,,Sheet 73,No response,Towns and suburbs,20-64,Female
European_Union_27_countries_from_2020,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
European_Union_29_countries_from_2013-2020,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
Euro_area_19_countries_2015-2022,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
Belgium,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
Bulgaria,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
Czechia,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
Denmark,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
Germany,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
Estonia,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
Ireland,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
Greece,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
Spain,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
France,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
Croatia,,,,,,,Sheet 74,No response,Towns and suburbs,35-49,Female
