Region,0,1+,30+,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
France,,2708.0,998.0,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Croatia,,75.0,52.0,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Italy,57.0,3092.0,837.0,245.0,6.0,Sheet 35,ISCED 0–2,Cities,50-74,Female
Cyprus,,37.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Latvia,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Lithuania,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Luxembourg,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Hungary,,154.0,79.0,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Malta,,59.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Netherlands,83.0,1334.0,313.0,84.0,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Austria,,187.0,97.0,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Poland,,307.0,133.0,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Portugal,,1576.0,524.0,178.0,9.0,Sheet 35,ISCED 0–2,Cities,50-74,Female
Romania,,145.0,98.0,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Slovenia,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Slovakia,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Finland,,84.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Sweden,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Iceland,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Norway,,104.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Switzerland,,17.0,68.0,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
United Kingdom,378.0,6259.0,1686.0,446.0,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Türkiye,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
European_Union_27_countries_from_2020,886.0,41955.0,15463.0,2997.0,2107.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
European_Union_29_countries_from_2013-2020,1293.0,5389.0,19681.0,4103.0,2235.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Euro_area_19_countries_2015-2022,764.0,32788.0,11634.0,2551.0,1664.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Belgium,,699.0,247.0,51.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Bulgaria,,924.0,424.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Czechia,,885.0,39.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Denmark,,711.0,243.0,5.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Germany,,12126.0,4711.0,814.0,957.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Estonia,,188.0,54.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Ireland,,475.0,177.0,47.0,83.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Greece,,637.0,254.0,41.0,53.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Spain,,3106.0,1112.0,372.0,203.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
France,,5428.0,1869.0,529.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Croatia,,323.0,165.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Italy,36.0,2874.0,874.0,221.0,113.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Cyprus,,8.0,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Latvia,,217.0,91.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Lithuania,,272.0,89.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Luxembourg,,,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Hungary,,927.0,561.0,52.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Malta,,85.0,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Netherlands,145.0,3373.0,98.0,255.0,48.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Austria,,913.0,408.0,63.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Poland,,2966.0,1087.0,98.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Portugal,,111.0,31.0,,85.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Romania,,1426.0,628.0,,351.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Slovenia,,116.0,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Slovakia,,24.0,59.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Finland,,842.0,333.0,39.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Sweden,,1006.0,331.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Iceland,,81.0,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Norway,,431.0,161.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Switzerland,,636.0,261.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
United Kingdom,408.0,11934.0,4218.0,1106.0,127.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Türkiye,,,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
European_Union_27_countries_from_2020,4569.0,13600.0,51031.0,9985.0,537.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
European_Union_29_countries_from_2013-2020,6382.0,164942.0,60875.0,12519.0,5709.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Euro_area_19_countries_2015-2022,3723.0,102532.0,36501.0,8427.0,3749.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Belgium,106.0,192.0,645.0,144.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Bulgaria,,3462.0,1551.0,133.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Czechia,225.0,4272.0,2029.0,195.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Denmark,66.0,1442.0,505.0,71.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Germany,1018.0,33768.0,12363.0,2363.0,2076.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Estonia,,558.0,19.0,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Ireland,,108.0,416.0,108.0,133.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Greece,,2496.0,982.0,163.0,173.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Spain,229.0,11952.0,4613.0,1383.0,443.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
France,1311.0,1737.0,6187.0,1653.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Croatia,103.0,1045.0,45.0,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Italy,161.0,14026.0,4546.0,1207.0,269.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Cyprus,44.0,278.0,,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Latvia,,889.0,484.0,149.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Lithuania,,1132.0,379.0,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Luxembourg,,,,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Hungary,99.0,3021.0,1744.0,303.0,93.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Malta,,154.0,56.0,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Netherlands,515.0,8099.0,2408.0,589.0,128.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Austria,72.0,2455.0,1136.0,179.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Poland,222.0,10978.0,4124.0,445.0,235.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Portugal,,3053.0,939.0,267.0,141.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Romania,,6525.0,3216.0,15.0,1168.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Slovenia,,322.0,81.0,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Slovakia,44.0,1226.0,35.0,4.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Finland,52.0,1732.0,686.0,95.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Sweden,,2723.0,91.0,225.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Iceland,,151.0,,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Norway,62.0,981.0,343.0,66.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Switzerland,63.0,2157.0,806.0,159.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
United Kingdom,1813.0,28942.0,9844.0,2534.0,339.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Türkiye,,,,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
European_Union_27_countries_from_2020,422.0,131588.0,49503.0,9609.0,5149.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
European_Union_29_countries_from_2013-2020,584.0,157762.0,58587.0,11896.0,5434.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Euro_area_19_countries_2015-2022,3472.0,99028.0,35335.0,8131.0,3549.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Belgium,102.0,1889.0,642.0,144.0,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Bulgaria,,3385.0,1526.0,133.0,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Czechia,21.0,4115.0,1964.0,195.0,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Denmark,66.0,1402.0,49.0,64.0,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Germany,925.0,32646.0,1195.0,2293.0,1972.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Estonia,,527.0,175.0,,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Ireland,,1016.0,393.0,101.0,116.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Greece,,2459.0,972.0,16.0,166.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Spain,224.0,11706.0,4511.0,1345.0,40.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
France,1263.0,16704.0,5963.0,1606.0,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Croatia,9.0,1017.0,442.0,,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Italy,136.0,13738.0,4434.0,1167.0,261.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Cyprus,44.0,265.0,,,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Latvia,,798.0,423.0,111.0,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Lithuania,,1058.0,354.0,,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Luxembourg,,,,,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Hungary,87.0,2959.0,1705.0,289.0,88.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Malta,,146.0,54.0,,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Netherlands,464.0,7528.0,2329.0,55.0,115.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Austria,69.0,2369.0,1087.0,178.0,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Poland,177.0,1059.0,3994.0,422.0,235.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Portugal,,2969.0,925.0,263.0,134.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Romania,,6497.0,3203.0,15.0,1158.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Slovenia,,32.0,78.0,,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Slovakia,41.0,119.0,346.0,4.0,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Finland,47.0,1679.0,66.0,95.0,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Sweden,,2596.0,844.0,,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Iceland,,141.0,,,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Norway,5.0,937.0,328.0,64.0,,Sheet 38,ISCED 3–4,Cities,20-64,Female
Switzerland,56.0,2068.0,782.0,149.0,,Sheet 38,ISCED 3–4,Cities,20-64,Female
United Kingdom,162.0,26174.0,9084.0,2287.0,285.0,Sheet 38,ISCED 3–4,Cities,20-64,Female
Türkiye,,,,,,Sheet 38,ISCED 3–4,Cities,20-64,Female
European_Union_27_countries_from_2020,1655.0,47392.0,17324.0,3236.0,1737.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
European_Union_29_countries_from_2013-2020,223.0,56109.0,20207.0,3944.0,1859.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
Euro_area_19_countries_2015-2022,1298.0,34313.0,11538.0,2626.0,1057.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
Belgium,55.0,681.0,222.0,57.0,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Bulgaria,,1337.0,597.0,55.0,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Czechia,115.0,1862.0,961.0,95.0,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Denmark,,334.0,114.0,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Germany,,9866.0,3188.0,516.0,581.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
Estonia,,187.0,57.0,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Ireland,,351.0,128.0,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Greece,,1221.0,443.0,73.0,73.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
Spain,107.0,4824.0,174.0,436.0,114.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
France,,5834.0,1995.0,603.0,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Croatia,,361.0,124.0,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Italy,45.0,5151.0,1639.0,484.0,8.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
Cyprus,,99.0,,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Latvia,,253.0,152.0,46.0,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Lithuania,,279.0,102.0,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Luxembourg,,,,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Hungary,49.0,1238.0,693.0,127.0,56.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
Malta,,42.0,,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Netherlands,187.0,2433.0,732.0,166.0,49.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
Austria,,807.0,393.0,61.0,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Poland,65.0,4022.0,1486.0,207.0,122.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
Portugal,,1231.0,384.0,98.0,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Romania,,3085.0,1558.0,76.0,442.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
Slovenia,,109.0,,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Slovakia,,507.0,153.0,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Finland,,427.0,156.0,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Sweden,,84.0,253.0,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Iceland,,,,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Norway,,284.0,82.0,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
Switzerland,,879.0,32.0,84.0,,Sheet 39,ISCED 3–4,Cities,35-49,Female
United Kingdom,574.0,8717.0,2883.0,709.0,122.0,Sheet 39,ISCED 3–4,Cities,35-49,Female
Türkiye,,,,,,Sheet 39,ISCED 3–4,Cities,35-49,Female
European_Union_27_countries_from_2020,2029.0,46653.0,18245.0,3752.0,1526.0,Sheet 40,ISCED 3–4,Cities,50-74,Female
European_Union_29_countries_from_2013-2020,2859.0,54943.0,20987.0,4471.0,1616.0,Sheet 40,ISCED 3–4,Cities,50-74,Female
Euro_area_19_countries_2015-2022,1661.0,35432.0,13328.0,3251.0,1028.0,Sheet 40,ISCED 3–4,Cities,50-74,Female
Belgium,41.0,54.0,176.0,36.0,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Bulgaria,,1201.0,53.0,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Czechia,105.0,1525.0,678.0,66.0,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Denmark,,398.0,148.0,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Germany,,11775.0,4464.0,1033.0,538.0,Sheet 40,ISCED 3–4,Cities,50-74,Female
Estonia,,183.0,79.0,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Ireland,,255.0,112.0,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Greece,,638.0,286.0,49.0,47.0,Sheet 40,ISCED 3–4,Cities,50-74,Female
Spain,9.0,4021.0,1761.0,576.0,126.0,Sheet 40,ISCED 3–4,Cities,50-74,Female
France,625.0,6107.0,2323.0,521.0,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Croatia,,361.0,161.0,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Italy,8.0,6001.0,2033.0,502.0,76.0,Sheet 40,ISCED 3–4,Cities,50-74,Female
Cyprus,,98.0,,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Latvia,,419.0,242.0,75.0,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Lithuania,,581.0,188.0,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Luxembourg,,,,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Hungary,41.0,857.0,491.0,124.0,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Malta,,,,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Netherlands,184.0,2293.0,696.0,168.0,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Austria,,735.0,335.0,55.0,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Poland,109.0,3989.0,1551.0,141.0,64.0,Sheet 40,ISCED 3–4,Cities,50-74,Female
Portugal,,711.0,245.0,102.0,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Romania,,2014.0,103.0,,375.0,Sheet 40,ISCED 3–4,Cities,50-74,Female
Slovenia,,97.0,,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Slovakia,,479.0,138.0,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Finland,,464.0,197.0,39.0,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Sweden,,877.0,326.0,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Iceland,,4.0,,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Norway,,266.0,10.0,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Switzerland,,642.0,225.0,52.0,,Sheet 40,ISCED 3–4,Cities,50-74,Female
United Kingdom,831.0,829.0,2743.0,719.0,,Sheet 40,ISCED 3–4,Cities,50-74,Female
Türkiye,,,,,,Sheet 40,ISCED 3–4,Cities,50-74,Female
European_Union_27_countries_from_2020,1601.0,57118.0,26825.0,590.0,173.0,Sheet 41,ISCED 5–8,Cities,15-34,Female
European_Union_29_countries_from_2013-2020,2246.0,72614.0,35381.0,8455.0,2029.0,Sheet 41,ISCED 5–8,Cities,15-34,Female
Euro_area_19_countries_2015-2022,128.0,43428.0,19875.0,4866.0,1143.0,Sheet 41,ISCED 5–8,Cities,15-34,Female
Belgium,,1373.0,591.0,148.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Bulgaria,,1073.0,626.0,,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Czechia,53.0,783.0,422.0,45.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Denmark,,1018.0,45.0,95.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Germany,,8129.0,4114.0,1045.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Estonia,,265.0,8.0,,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Ireland,,781.0,39.0,103.0,135.0,Sheet 41,ISCED 5–8,Cities,15-34,Female
Greece,,1139.0,436.0,92.0,66.0,Sheet 41,ISCED 5–8,Cities,15-34,Female
Spain,116.0,7304.0,3197.0,849.0,202.0,Sheet 41,ISCED 5–8,Cities,15-34,Female
France,,11891.0,5645.0,1337.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Croatia,,391.0,132.0,,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Italy,67.0,302.0,138.0,33.0,6.0,Sheet 41,ISCED 5–8,Cities,15-34,Female
Cyprus,,256.0,43.0,,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Latvia,,36.0,213.0,,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Lithuania,,727.0,279.0,39.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Luxembourg,,65.0,,,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Hungary,,898.0,532.0,11.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Malta,,94.0,44.0,,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Netherlands,193.0,4129.0,1854.0,61.0,53.0,Sheet 41,ISCED 5–8,Cities,15-34,Female
Austria,,1122.0,474.0,77.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Poland,191.0,5507.0,259.0,329.0,222.0,Sheet 41,ISCED 5–8,Cities,15-34,Female
Portugal,,1264.0,512.0,132.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Romania,,1966.0,1211.0,134.0,327.0,Sheet 41,ISCED 5–8,Cities,15-34,Female
Slovenia,,147.0,51.0,,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Slovakia,,46.0,155.0,,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Finland,,901.0,393.0,45.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Sweden,,2055.0,987.0,237.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Iceland,,84.0,,,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Norway,,949.0,377.0,58.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
Switzerland,,1386.0,577.0,141.0,,Sheet 41,ISCED 5–8,Cities,15-34,Female
United Kingdom,645.0,15496.0,8557.0,2555.0,299.0,Sheet 41,ISCED 5–8,Cities,15-34,Female
Türkiye,,,,,,Sheet 41,ISCED 5–8,Cities,15-34,Female
European_Union_27_countries_from_2020,7642.0,169594.0,75103.0,16352.0,5107.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
European_Union_29_countries_from_2013-2020,10998.0,207882.0,94473.0,22419.0,5871.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Euro_area_19_countries_2015-2022,6302.0,129797.0,55634.0,13781.0,361.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Belgium,209.0,3563.0,1505.0,335.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Bulgaria,,4008.0,2122.0,156.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Czechia,207.0,2433.0,1257.0,145.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Denmark,57.0,2566.0,1044.0,161.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Germany,1559.0,23953.0,10872.0,2879.0,1397.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Estonia,43.0,883.0,278.0,38.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Ireland,96.0,202.0,1028.0,288.0,285.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Greece,56.0,3502.0,1251.0,202.0,156.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Spain,813.0,26239.0,10738.0,3129.0,54.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
France,1691.0,30391.0,14127.0,3165.0,554.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Croatia,,1274.0,518.0,77.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Italy,308.0,13248.0,499.0,1418.0,268.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Cyprus,,604.0,112.0,,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Latvia,38.0,1209.0,729.0,13.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Lithuania,54.0,2172.0,837.0,85.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Luxembourg,,153.0,63.0,,53.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Hungary,182.0,3067.0,1776.0,353.0,54.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Malta,,17.0,65.0,,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Netherlands,819.0,10015.0,4415.0,132.0,96.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Austria,146.0,2742.0,1216.0,178.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Poland,694.0,15464.0,693.0,865.0,541.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Portugal,18.0,4298.0,1609.0,381.0,167.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Romania,,5518.0,3231.0,334.0,773.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Slovenia,37.0,496.0,141.0,,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Slovakia,41.0,121.0,389.0,,7.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Finland,161.0,2928.0,1267.0,158.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Sweden,,5469.0,2591.0,48.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Iceland,,287.0,4.0,,36.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Norway,96.0,2251.0,862.0,112.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
Switzerland,129.0,3006.0,126.0,326.0,,Sheet 42,ISCED 5–8,Cities,15-74,Female
United Kingdom,3356.0,38287.0,1937.0,6067.0,764.0,Sheet 42,ISCED 5–8,Cities,15-74,Female
Türkiye,,,,,,Sheet 42,ISCED 5–8,Cities,15-74,Female
European_Union_27_countries_from_2020,7234.0,167352.0,7413.0,16227.0,5035.0,Sheet 43,ISCED 5–8,Cities,20-64,Female
European_Union_29_countries_from_2013-2020,1039.0,204987.0,93186.0,22215.0,5792.0,Sheet 43,ISCED 5–8,Cities,20-64,Female
Euro_area_19_countries_2015-2022,5979.0,128281.0,54998.0,13679.0,3551.0,Sheet 43,ISCED 5–8,Cities,20-64,Female
Belgium,203.0,355.0,1502.0,335.0,,Sheet 43,ISCED 5–8,Cities,20-64,Female
Bulgaria,,3898.0,2072.0,155.0,,Sheet 43,ISCED 5–8,Cities,20-64,Female
Czechia,192.0,2357.0,1227.0,145.0,,Sheet 43,ISCED 5–8,Cities,20-64,Female
Denmark,53.0,2525.0,1025.0,159.0,,Sheet 43,ISCED 5–8,Cities,20-64,Female
Germany,1449.0,2364.0,10763.0,2858.0,1375.0,Sheet 43,ISCED 5–8,Cities,20-64,Female
Estonia,36.0,825.0,254.0,,,Sheet 43,ISCED 5–8,Cities,20-64,Female
Ireland,93.0,2005.0,102.0,285.0,283.0,Sheet 43,ISCED 5–8,Cities,20-64,Female
Greece,56.0,3491.0,1247.0,202.0,146.0,Sheet 43,ISCED 5–8,Cities,20-64,Female
Spain,778.0,26084.0,10662.0,3123.0,54.0,Sheet 43,ISCED 5–8,Cities,20-64,Female
France,1628.0,30149.0,13988.0,3144.0,547.0,Sheet 43,ISCED 5–8,Cities,20-64,Female
Croatia,,1269.0,518.0,77.0,,Sheet 43,ISCED 5–8,Cities,20-64,Female
Italy,286.0,1298.0,4912.0,1405.0,249.0,Sheet 43,ISCED 5–8,Cities,20-64,Female
Cyprus,,60.0,111.0,,,Sheet 43,ISCED 5–8,Cities,20-64,Female
Latvia,38.0,1163.0,699.0,122.0,,Sheet 43,ISCED 5–8,Cities,20-64,Female
Lithuania,51.0,2102.0,807.0,83.0,,Sheet 43,ISCED 5–8,Cities,20-64,Female
