Region,0,1-9,1-14,1+,10-14,15-19,15-29,20-29,30-44,30-59,30+,45-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
United Kingdom,,422.0,907.0,2979.0,485.0,47.0,1077.0,607.0,671.0,822.0,996.0,151.0,173.0,,Sheet 31,ISCED 0–2,Cities,15-34,Female
Türkiye,,,,,,,,,,,,,,,Sheet 31,ISCED 0–2,Cities,15-34,Female
European_Union_27_countries_from_2020,1421.0,6449.0,13915.0,41533.0,7466.0,6634.0,13499.0,6866.0,8314.0,1051.0,14118.0,2196.0,3608.0,1829.0,Sheet 32,ISCED 0–2,Cities,15-74,Female
European_Union_29_countries_from_2013-2020,2002.0,8424.0,18342.0,5439.0,9918.0,8677.0,18173.0,9496.0,10525.0,13367.0,17875.0,2842.0,4508.0,2061.0,Sheet 32,ISCED 0–2,Cities,15-74,Female
Euro_area_19_countries_2015-2022,1321.0,6245.0,13263.0,38199.0,7018.0,6157.0,12413.0,6256.0,7197.0,9154.0,12523.0,1957.0,3369.0,1695.0,Sheet 32,ISCED 0–2,Cities,15-74,Female
Belgium,44.0,75.0,203.0,784.0,128.0,147.0,268.0,122.0,21.0,271.0,312.0,61.0,42.0,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Bulgaria,,,57.0,416.0,,68.0,164.0,95.0,139.0,181.0,196.0,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Czechia,,,63.0,302.0,45.0,48.0,89.0,41.0,88.0,125.0,15.0,37.0,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Denmark,,61.0,158.0,543.0,97.0,85.0,206.0,121.0,99.0,141.0,179.0,42.0,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Germany,,1116.0,2217.0,6461.0,110.0,963.0,1927.0,964.0,1388.0,1777.0,2318.0,,541.0,702.0,Sheet 32,ISCED 0–2,Cities,15-74,Female
Estonia,,,,77.0,,,36.0,,,,,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Ireland,,45.0,86.0,259.0,41.0,,9.0,53.0,56.0,68.0,83.0,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Greece,,62.0,151.0,46.0,89.0,64.0,177.0,113.0,94.0,118.0,132.0,,,47.0,Sheet 32,ISCED 0–2,Cities,15-74,Female
Spain,193.0,1531.0,3416.0,10418.0,1885.0,1704.0,3465.0,176.0,1971.0,2371.0,3537.0,40.0,1167.0,392.0,Sheet 32,ISCED 0–2,Cities,15-74,Female
France,536.0,732.0,1589.0,5653.0,857.0,863.0,1967.0,1103.0,123.0,1658.0,2098.0,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Croatia,,,,12.0,,,,,64.0,79.0,97.0,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Italy,94.0,1215.0,2597.0,6033.0,1382.0,934.0,1799.0,865.0,943.0,1137.0,1637.0,193.0,501.0,158.0,Sheet 32,ISCED 0–2,Cities,15-74,Female
Cyprus,,,39.0,75.0,,,,,,,,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Latvia,,,,81.0,,,4.0,,,,,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Lithuania,,,,41.0,,,,,,,,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Luxembourg,,,,,,,,,,,,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Hungary,,,63.0,418.0,43.0,,134.0,105.0,161.0,199.0,221.0,38.0,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Malta,,,46.0,155.0,,,51.0,,,46.0,57.0,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Netherlands,151.0,82.0,1636.0,3568.0,816.0,691.0,1223.0,532.0,432.0,534.0,709.0,102.0,175.0,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Austria,,79.0,146.0,713.0,67.0,10.0,21.0,11.0,223.0,313.0,356.0,91.0,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Poland,,,102.0,645.0,71.0,111.0,213.0,101.0,238.0,252.0,33.0,,78.0,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Portugal,,489.0,1026.0,3028.0,537.0,495.0,92.0,425.0,508.0,699.0,1082.0,191.0,383.0,136.0,Sheet 32,ISCED 0–2,Cities,15-74,Female
Romania,,,,447.0,,,143.0,79.0,229.0,249.0,271.0,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Slovenia,,,,41.0,,,,,,,,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Slovakia,,,,,,,,,,,,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Finland,,,51.0,311.0,,71.0,154.0,83.0,47.0,84.0,105.0,37.0,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Sweden,,,,442.0,,,,,,,,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Iceland,,38.0,6.0,103.0,,,,,,,,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Norway,,,109.0,401.0,72.0,75.0,161.0,86.0,66.0,95.0,132.0,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
Switzerland,,68.0,132.0,489.0,64.0,62.0,189.0,127.0,116.0,16.0,168.0,44.0,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
United Kingdom,581.0,1974.0,4427.0,12857.0,2452.0,2043.0,4674.0,263.0,2211.0,2857.0,3757.0,647.0,90.0,232.0,Sheet 32,ISCED 0–2,Cities,15-74,Female
Türkiye,,,,,,,,,,,,,,,Sheet 32,ISCED 0–2,Cities,15-74,Female
European_Union_27_countries_from_2020,1239.0,5587.0,12356.0,3785.0,6769.0,6151.0,12464.0,6313.0,7685.0,9699.0,1303.0,2014.0,3331.0,171.0,Sheet 33,ISCED 0–2,Cities,20-64,Female
European_Union_29_countries_from_2013-2020,1785.0,7431.0,16368.0,49628.0,8936.0,7979.0,16744.0,8765.0,9708.0,1234.0,16517.0,2633.0,4177.0,1916.0,Sheet 33,ISCED 0–2,Cities,20-64,Female
Euro_area_19_countries_2015-2022,1157.0,5426.0,11893.0,34976.0,6466.0,5724.0,11464.0,574.0,6683.0,848.0,1162.0,1797.0,314.0,1585.0,Sheet 33,ISCED 0–2,Cities,20-64,Female
Belgium,43.0,75.0,195.0,754.0,119.0,147.0,259.0,112.0,203.0,258.0,30.0,55.0,42.0,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Bulgaria,,,,396.0,,67.0,161.0,94.0,132.0,172.0,187.0,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Czechia,,,58.0,26.0,42.0,46.0,79.0,,71.0,106.0,123.0,35.0,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Denmark,,,84.0,363.0,59.0,47.0,145.0,98.0,79.0,104.0,133.0,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Germany,,93.0,192.0,5689.0,99.0,885.0,1707.0,821.0,1251.0,1569.0,2062.0,,,643.0,Sheet 33,ISCED 0–2,Cities,20-64,Female
Estonia,,,,53.0,,,,,,,,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Ireland,,,73.0,218.0,,,76.0,43.0,48.0,6.0,7.0,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Greece,,62.0,148.0,445.0,85.0,63.0,168.0,105.0,91.0,115.0,129.0,,,41.0,Sheet 33,ISCED 0–2,Cities,20-64,Female
Spain,189.0,1499.0,3325.0,10101.0,1827.0,1646.0,3381.0,1736.0,189.0,2272.0,3395.0,382.0,1122.0,383.0,Sheet 33,ISCED 0–2,Cities,20-64,Female
France,502.0,673.0,1486.0,5373.0,813.0,816.0,1869.0,1053.0,1175.0,1593.0,2018.0,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Croatia,,,,12.0,,,,,64.0,79.0,97.0,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Italy,73.0,114.0,2494.0,5777.0,1354.0,911.0,173.0,819.0,872.0,1055.0,1553.0,184.0,498.0,153.0,Sheet 33,ISCED 0–2,Cities,20-64,Female
Cyprus,,,36.0,69.0,,,,,,,,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Latvia,,,,64.0,,,,,,,,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Lithuania,,,,,,,,,,,,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Luxembourg,,,,,,,,,,,,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Hungary,,,54.0,401.0,,,13.0,102.0,156.0,194.0,216.0,38.0,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Malta,,,43.0,15.0,,,51.0,,,46.0,56.0,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Netherlands,99.0,425.0,985.0,2468.0,56.0,556.0,932.0,376.0,345.0,428.0,551.0,83.0,123.0,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Austria,,75.0,138.0,65.0,63.0,94.0,195.0,101.0,205.0,295.0,317.0,91.0,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Poland,,,88.0,561.0,57.0,111.0,211.0,10.0,204.0,218.0,262.0,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Portugal,,45.0,964.0,2864.0,515.0,465.0,875.0,41.0,485.0,668.0,1024.0,182.0,357.0,131.0,Sheet 33,ISCED 0–2,Cities,20-64,Female
Romania,,,,433.0,,,135.0,79.0,224.0,244.0,266.0,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Slovenia,,,,4.0,,,,,,,,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Slovakia,,,,,,,,,,,,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Finland,,,35.0,191.0,,36.0,9.0,54.0,,53.0,66.0,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Sweden,,,,341.0,,,,,,,,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Iceland,,,,61.0,,,,,,,,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Norway,,,77.0,304.0,51.0,62.0,122.0,6.0,,76.0,105.0,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
Switzerland,,51.0,108.0,401.0,57.0,48.0,163.0,115.0,88.0,122.0,13.0,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
United Kingdom,546.0,1845.0,4012.0,11778.0,2167.0,1828.0,428.0,2452.0,2023.0,2641.0,3487.0,618.0,846.0,206.0,Sheet 33,ISCED 0–2,Cities,20-64,Female
Türkiye,,,,,,,,,,,,,,,Sheet 33,ISCED 0–2,Cities,20-64,Female
European_Union_27_countries_from_2020,,1986.0,4584.0,14041.0,2598.0,219.0,4609.0,2419.0,3022.0,3764.0,4848.0,742.0,1084.0,606.0,Sheet 34,ISCED 0–2,Cities,35-49,Female
European_Union_29_countries_from_2013-2020,592.0,2462.0,5745.0,17659.0,3283.0,2733.0,5991.0,3258.0,3544.0,4559.0,5923.0,1014.0,1365.0,68.0,Sheet 34,ISCED 0–2,Cities,35-49,Female
Euro_area_19_countries_2015-2022,,1907.0,4366.0,12854.0,2459.0,2013.0,4251.0,2238.0,2567.0,3204.0,4236.0,636.0,1033.0,552.0,Sheet 34,ISCED 0–2,Cities,35-49,Female
Belgium,,38.0,76.0,269.0,38.0,4.0,82.0,42.0,77.0,96.0,111.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Bulgaria,,,,204.0,,,77.0,,85.0,105.0,107.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Czechia,,,,103.0,,,,,,44.0,56.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Denmark,,,,104.0,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Germany,,,707.0,1957.0,,,599.0,,,512.0,651.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Estonia,,,,,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Ireland,,,,72.0,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Greece,,,7.0,199.0,39.0,,68.0,43.0,38.0,52.0,61.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Spain,81.0,594.0,1337.0,3936.0,742.0,617.0,1399.0,781.0,729.0,852.0,1201.0,123.0,348.0,107.0,Sheet 34,ISCED 0–2,Cities,35-49,Female
France,,,562.0,1987.0,,,637.0,,,658.0,788.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Croatia,,,,45.0,,,,,,45.0,45.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Italy,,392.0,856.0,2084.0,463.0,35.0,663.0,313.0,312.0,397.0,564.0,85.0,167.0,84.0,Sheet 34,ISCED 0–2,Cities,35-49,Female
Cyprus,,,,,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Latvia,,,,,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Lithuania,,,,,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Luxembourg,,,,,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Hungary,,,,189.0,,,63.0,55.0,7.0,95.0,105.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Malta,,,,55.0,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Netherlands,,87.0,26.0,695.0,173.0,112.0,266.0,154.0,134.0,143.0,169.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Austria,,,59.0,313.0,,55.0,106.0,52.0,93.0,143.0,148.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Poland,,,,173.0,,,55.0,,72.0,72.0,77.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Portugal,,135.0,353.0,1133.0,218.0,189.0,348.0,159.0,215.0,259.0,432.0,,173.0,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Romania,,,,189.0,,,71.0,,89.0,96.0,104.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Slovenia,,,,,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Slovakia,,,,,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Finland,,,,46.0,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Sweden,,,,,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Iceland,,,,,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Norway,,,,105.0,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Switzerland,,,,154.0,,,89.0,67.0,,44.0,47.0,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
United Kingdom,128.0,476.0,1161.0,3619.0,685.0,543.0,1382.0,839.0,522.0,795.0,1075.0,273.0,28.0,,Sheet 34,ISCED 0–2,Cities,35-49,Female
Türkiye,,,,,,,,,,,,,,,Sheet 34,ISCED 0–2,Cities,35-49,Female
European_Union_27_countries_from_2020,771.0,2779.0,5809.0,17526.0,303.0,2892.0,5878.0,2986.0,3244.0,4182.0,5839.0,938.0,1657.0,893.0,Sheet 35,ISCED 0–2,Cities,50-74,Female
European_Union_29_countries_from_2013-2020,1149.0,3855.0,8167.0,23785.0,4312.0,3922.0,8093.0,4171.0,4262.0,5422.0,7525.0,116.0,2103.0,992.0,Sheet 35,ISCED 0–2,Cities,50-74,Female
Euro_area_19_countries_2015-2022,719.0,2722.0,5636.0,16359.0,2915.0,2723.0,5431.0,2708.0,2875.0,3734.0,5292.0,859.0,1558.0,859.0,Sheet 35,ISCED 0–2,Cities,50-74,Female
Belgium,,,87.0,292.0,6.0,57.0,87.0,,75.0,102.0,117.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Bulgaria,,,,13.0,,,,,,,59.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Czechia,,,,92.0,,,36.0,,,,41.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Denmark,,,,135.0,,,56.0,42.0,,48.0,58.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Germany,,,706.0,2164.0,,,804.0,,,,655.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Estonia,,,,,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Ireland,,,48.0,135.0,,,51.0,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Greece,,,57.0,221.0,,37.0,97.0,59.0,53.0,63.0,68.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Spain,108.0,671.0,1462.0,4378.0,791.0,714.0,1337.0,623.0,82.0,100.0,1579.0,181.0,578.0,168.0,Sheet 35,ISCED 0–2,Cities,50-74,Female
France,,,755.0,2708.0,,,954.0,559.0,539.0,76.0,998.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Croatia,,,,75.0,,,,,,,52.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Italy,57.0,667.0,1316.0,3092.0,649.0,477.0,94.0,463.0,499.0,591.0,837.0,92.0,245.0,6.0,Sheet 35,ISCED 0–2,Cities,50-74,Female
Cyprus,,,,37.0,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Latvia,,,,,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Lithuania,,,,,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Luxembourg,,,,,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Hungary,,,,154.0,,,46.0,,6.0,67.0,79.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Malta,,,,59.0,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Netherlands,83.0,278.0,537.0,1334.0,259.0,288.0,485.0,197.0,174.0,229.0,313.0,54.0,84.0,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Austria,,,,187.0,,,,,65.0,84.0,97.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Poland,,,,307.0,,,128.0,8.0,91.0,104.0,133.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Portugal,,277.0,549.0,1576.0,272.0,283.0,502.0,219.0,237.0,347.0,524.0,11.0,178.0,9.0,Sheet 35,ISCED 0–2,Cities,50-74,Female
Romania,,,,145.0,,,,,85.0,85.0,98.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Slovenia,,,,,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Slovakia,,,,,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Finland,,,,84.0,,,49.0,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Sweden,,,,,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Iceland,,,,,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Norway,,,,104.0,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Switzerland,,44.0,76.0,17.0,,,,,4.0,63.0,68.0,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
United Kingdom,378.0,1076.0,2358.0,6259.0,1282.0,103.0,2215.0,1185.0,1018.0,124.0,1686.0,222.0,446.0,,Sheet 35,ISCED 0–2,Cities,50-74,Female
Türkiye,,,,,,,,,,,,,,,Sheet 35,ISCED 0–2,Cities,50-74,Female
European_Union_27_countries_from_2020,886.0,4615.0,10742.0,41955.0,6127.0,6612.0,15751.0,9138.0,9898.0,12466.0,15463.0,2568.0,2997.0,2107.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
European_Union_29_countries_from_2013-2020,1293.0,6195.0,14526.0,5389.0,8331.0,8287.0,19682.0,11396.0,12195.0,15577.0,19681.0,3382.0,4103.0,2235.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Euro_area_19_countries_2015-2022,764.0,3924.0,9074.0,32788.0,515.0,5162.0,1208.0,6919.0,7129.0,9084.0,11634.0,1954.0,2551.0,1664.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Belgium,,72.0,181.0,699.0,109.0,13.0,271.0,14.0,137.0,196.0,247.0,58.0,51.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Bulgaria,,,108.0,924.0,91.0,144.0,391.0,247.0,328.0,391.0,424.0,62.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Czechia,,53.0,149.0,885.0,96.0,142.0,346.0,204.0,269.0,356.0,39.0,87.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Denmark,,89.0,189.0,711.0,10.0,115.0,278.0,163.0,149.0,194.0,243.0,45.0,5.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Germany,,1416.0,2984.0,12126.0,1568.0,1893.0,4432.0,2539.0,2992.0,3897.0,4711.0,905.0,814.0,957.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Estonia,,,46.0,188.0,,48.0,87.0,39.0,47.0,52.0,54.0,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Ireland,,52.0,132.0,475.0,8.0,58.0,166.0,108.0,113.0,131.0,177.0,,47.0,83.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Greece,,38.0,161.0,637.0,123.0,13.0,222.0,92.0,171.0,212.0,254.0,41.0,41.0,53.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Spain,,369.0,864.0,3106.0,495.0,458.0,113.0,672.0,657.0,741.0,1112.0,83.0,372.0,203.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
France,,58.0,145.0,5428.0,87.0,814.0,211.0,1295.0,1058.0,134.0,1869.0,,529.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Croatia,,,47.0,323.0,,,111.0,81.0,95.0,143.0,165.0,48.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Italy,36.0,417.0,1053.0,2874.0,636.0,439.0,947.0,508.0,525.0,653.0,874.0,128.0,221.0,113.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Cyprus,,,,8.0,,,44.0,,,,,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Latvia,,,,217.0,,,102.0,93.0,47.0,63.0,91.0,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Lithuania,,,42.0,272.0,,45.0,141.0,96.0,78.0,87.0,89.0,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Luxembourg,,,,,,,,,,,,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Hungary,,36.0,99.0,927.0,63.0,81.0,267.0,185.0,386.0,509.0,561.0,123.0,52.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Malta,,,,85.0,,,,,,,,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Netherlands,145.0,549.0,1245.0,3373.0,697.0,59.0,1148.0,558.0,558.0,725.0,98.0,167.0,255.0,48.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Austria,,,172.0,913.0,122.0,127.0,333.0,207.0,223.0,346.0,408.0,123.0,63.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Poland,,298.0,656.0,2966.0,358.0,562.0,1224.0,662.0,876.0,989.0,1087.0,114.0,98.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Portugal,,187.0,402.0,111.0,215.0,179.0,399.0,22.0,205.0,242.0,31.0,,,85.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Romania,,,147.0,1426.0,12.0,191.0,652.0,461.0,498.0,603.0,628.0,105.0,,351.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Slovenia,,,,116.0,,,61.0,,,,,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Slovakia,,,,24.0,,,143.0,104.0,43.0,49.0,59.0,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Finland,,92.0,203.0,842.0,111.0,123.0,306.0,184.0,232.0,294.0,333.0,62.0,39.0,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Sweden,,,272.0,1006.0,,,402.0,218.0,,,331.0,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Iceland,,,42.0,81.0,,,,,,,,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Norway,,61.0,137.0,431.0,76.0,55.0,132.0,77.0,101.0,131.0,161.0,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
Switzerland,,51.0,133.0,636.0,82.0,98.0,241.0,144.0,177.0,238.0,261.0,61.0,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
United Kingdom,408.0,158.0,3784.0,11934.0,2205.0,1674.0,3932.0,2257.0,2298.0,3112.0,4218.0,814.0,1106.0,127.0,Sheet 36,ISCED 3–4,Cities,15-34,Female
Türkiye,,,,,,,,,,,,,,,Sheet 36,ISCED 3–4,Cities,15-34,Female
European_Union_27_countries_from_2020,4569.0,15185.0,34982.0,13600.0,19797.0,21108.0,49987.0,28879.0,32445.0,41046.0,51031.0,8601.0,9985.0,537.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
European_Union_29_countries_from_2013-2020,6382.0,19476.0,44396.0,164942.0,2492.0,25185.0,59671.0,34485.0,37736.0,48356.0,60875.0,1062.0,12519.0,5709.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Euro_area_19_countries_2015-2022,3723.0,1315.0,29262.0,102532.0,16111.0,16103.0,3677.0,20668.0,21969.0,28073.0,36501.0,6104.0,8427.0,3749.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Belgium,106.0,22.0,553.0,192.0,333.0,325.0,722.0,397.0,368.0,50.0,645.0,132.0,144.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Bulgaria,,8.0,445.0,3462.0,364.0,562.0,1466.0,904.0,1189.0,1419.0,1551.0,23.0,133.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Czechia,225.0,273.0,763.0,4272.0,49.0,616.0,148.0,864.0,1403.0,1834.0,2029.0,431.0,195.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Denmark,66.0,163.0,387.0,1442.0,225.0,236.0,55.0,314.0,327.0,435.0,505.0,108.0,71.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Germany,1018.0,4304.0,9107.0,33768.0,4803.0,5351.0,12298.0,6947.0,7832.0,1000.0,12363.0,2168.0,2363.0,2076.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Estonia,,54.0,131.0,558.0,77.0,113.0,236.0,123.0,139.0,159.0,19.0,,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Ireland,,122.0,278.0,108.0,156.0,157.0,386.0,229.0,259.0,309.0,416.0,49.0,108.0,133.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Greece,,162.0,616.0,2496.0,454.0,481.0,898.0,417.0,636.0,819.0,982.0,184.0,163.0,173.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Spain,229.0,1251.0,3128.0,11952.0,1876.0,1885.0,4211.0,2327.0,2654.0,323.0,4613.0,576.0,1383.0,443.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
France,1311.0,2119.0,4864.0,1737.0,2745.0,2689.0,6319.0,363.0,3387.0,4534.0,6187.0,1147.0,1653.0,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Croatia,103.0,71.0,172.0,1045.0,101.0,232.0,423.0,191.0,238.0,414.0,45.0,176.0,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
Italy,161.0,239.0,512.0,14026.0,273.0,2071.0,436.0,2289.0,2702.0,3338.0,4546.0,637.0,1207.0,269.0,Sheet 37,ISCED 3–4,Cities,15-74,Female
Cyprus,44.0,46.0,108.0,278.0,63.0,61.0,137.0,76.0,,,,,,,Sheet 37,ISCED 3–4,Cities,15-74,Female
