Region,0,1-9,10-14,15-19,20-29,30-44,45-59,60+,No_response,sheet_name,education_level,urbanisation_degree,age_class,sex
United Kingdom,,,,,,,,,,Sheet 21,No response,Total,15-34,Female
Türkiye,,,,,,,,,,Sheet 21,No response,Total,15-34,Female
European_Union_27_countries_from_2020,,,,,,535.0,,,,Sheet 22,No response,Total,15-74,Female
European_Union_29_countries_from_2013-2020,,,,,,556.0,,,,Sheet 22,No response,Total,15-74,Female
Euro_area_19_countries_2015-2022,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Belgium,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Bulgaria,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Czechia,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Denmark,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Germany,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Estonia,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Ireland,,,,,,,,,108.0,Sheet 22,No response,Total,15-74,Female
Greece,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Spain,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
France,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Croatia,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Italy,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Cyprus,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Latvia,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Lithuania,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Luxembourg,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Hungary,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Malta,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Netherlands,,65.0,39.0,42.0,72.0,71.0,,,,Sheet 22,No response,Total,15-74,Female
Austria,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Poland,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Portugal,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Romania,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Slovenia,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Slovakia,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Finland,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Sweden,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Iceland,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Norway,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Switzerland,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
United Kingdom,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
Türkiye,,,,,,,,,,Sheet 22,No response,Total,15-74,Female
European_Union_27_countries_from_2020,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
European_Union_29_countries_from_2013-2020,,,,,,518.0,,,,Sheet 23,No response,Total,20-64,Female
Euro_area_19_countries_2015-2022,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Belgium,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Bulgaria,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Czechia,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Denmark,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Germany,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Estonia,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Ireland,,,,,,,,,108.0,Sheet 23,No response,Total,20-64,Female
Greece,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Spain,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
France,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Croatia,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Italy,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Cyprus,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Latvia,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Lithuania,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Luxembourg,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Hungary,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Malta,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Netherlands,,63.0,39.0,42.0,72.0,71.0,,,,Sheet 23,No response,Total,20-64,Female
Austria,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Poland,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Portugal,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Romania,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Slovenia,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Slovakia,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Finland,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Sweden,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Iceland,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Norway,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Switzerland,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
United Kingdom,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
Türkiye,,,,,,,,,,Sheet 23,No response,Total,20-64,Female
European_Union_27_countries_from_2020,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
European_Union_29_countries_from_2013-2020,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Euro_area_19_countries_2015-2022,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Belgium,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Bulgaria,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Czechia,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Denmark,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Germany,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Estonia,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Ireland,,,,,,,,,44.0,Sheet 24,No response,Total,35-49,Female
Greece,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Spain,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
France,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Croatia,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Italy,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Cyprus,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Latvia,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Lithuania,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Luxembourg,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Hungary,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Malta,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Netherlands,,,,,,36.0,,,,Sheet 24,No response,Total,35-49,Female
Austria,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Poland,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Portugal,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Romania,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Slovenia,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Slovakia,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Finland,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Sweden,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Iceland,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Norway,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Switzerland,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
United Kingdom,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
Türkiye,,,,,,,,,,Sheet 24,No response,Total,35-49,Female
European_Union_27_countries_from_2020,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
European_Union_29_countries_from_2013-2020,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Euro_area_19_countries_2015-2022,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Belgium,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Bulgaria,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Czechia,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Denmark,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Germany,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Estonia,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Ireland,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Greece,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Spain,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
France,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Croatia,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Italy,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Cyprus,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Latvia,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Lithuania,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Luxembourg,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Hungary,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Malta,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Netherlands,,,,,35.0,,,,,Sheet 25,No response,Total,50-74,Female
Austria,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Poland,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Portugal,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Romania,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Slovenia,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Slovakia,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Finland,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Sweden,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Iceland,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Norway,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Switzerland,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
United Kingdom,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
Türkiye,,,,,,,,,,Sheet 25,No response,Total,50-74,Female
European_Union_27_countries_from_2020,2684.0,999.0,14009.0,16504.0,23023.0,28013.0,8157.0,9811.0,4201.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
European_Union_29_countries_from_2013-2020,3812.0,12993.0,18247.0,20148.0,28819.0,35218.0,10905.0,13653.0,4686.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Euro_area_19_countries_2015-2022,2215.0,8777.0,1170.0,12901.0,17481.0,20187.0,6309.0,8239.0,3124.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Belgium,43.0,172.0,318.0,391.0,491.0,495.0,217.0,21.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Bulgaria,,,166.0,275.0,521.0,826.0,168.0,86.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Czechia,66.0,95.0,21.0,264.0,341.0,568.0,212.0,85.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Denmark,,226.0,26.0,365.0,427.0,488.0,144.0,171.0,41.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Germany,64.0,2415.0,2573.0,3118.0,4664.0,5996.0,1822.0,2073.0,1417.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Estonia,,41.0,93.0,101.0,112.0,117.0,,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Ireland,,118.0,148.0,184.0,276.0,352.0,94.0,157.0,254.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Greece,,112.0,396.0,332.0,283.0,424.0,135.0,133.0,127.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Spain,153.0,1158.0,1836.0,1919.0,2535.0,2907.0,699.0,1461.0,522.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
France,564.0,1671.0,2223.0,265.0,4017.0,4364.0,1639.0,1969.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Croatia,,43.0,58.0,118.0,199.0,18.0,6.0,57.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Italy,113.0,78.0,1316.0,1051.0,1114.0,1475.0,377.0,639.0,187.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Cyprus,42.0,49.0,72.0,94.0,9.0,,,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Latvia,,,45.0,55.0,173.0,24.0,,45.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Lithuania,,46.0,109.0,169.0,311.0,312.0,,41.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Luxembourg,,,,,,,,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Hungary,,48.0,148.0,171.0,403.0,752.0,216.0,162.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Malta,,,,43.0,,61.0,,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Netherlands,38.0,1382.0,155.0,1552.0,1528.0,1521.0,612.0,941.0,12.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Austria,,152.0,248.0,318.0,536.0,601.0,228.0,165.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Poland,253.0,479.0,912.0,1441.0,201.0,292.0,406.0,47.0,271.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Portugal,,409.0,457.0,395.0,485.0,552.0,163.0,232.0,145.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Romania,,,182.0,419.0,934.0,133.0,418.0,159.0,708.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Slovenia,,,,68.0,62.0,65.0,,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Slovakia,,,61.0,117.0,28.0,145.0,44.0,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Finland,5.0,159.0,194.0,325.0,468.0,503.0,18.0,95.0,35.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Sweden,,223.0,374.0,55.0,706.0,762.0,224.0,383.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Iceland,,64.0,61.0,41.0,,,,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Norway,73.0,16.0,242.0,205.0,36.0,403.0,99.0,103.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Switzerland,,198.0,282.0,363.0,452.0,562.0,165.0,164.0,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
United Kingdom,1128.0,3004.0,4237.0,3643.0,5796.0,7204.0,2749.0,3842.0,485.0,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
Türkiye,,,,,,,,,,Sheet 26,All ISCED 2011 levels,Cities,15-34,Female
European_Union_27_countries_from_2020,13687.0,34549.0,47143.0,53068.0,72612.0,85484.0,25187.0,30015.0,12379.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
European_Union_29_countries_from_2013-2020,1944.0,43974.0,58953.0,63389.0,88272.0,102496.0,31684.0,39537.0,13721.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Euro_area_19_countries_2015-2022,11401.0,30625.0,39598.0,41731.0,54349.0,60431.0,18971.0,25641.0,9128.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Belgium,359.0,562.0,921.0,991.0,133.0,1439.0,502.0,522.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Bulgaria,61.0,177.0,701.0,1179.0,196.0,2913.0,653.0,304.0,65.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Czechia,451.0,412.0,772.0,1028.0,136.0,2306.0,766.0,364.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Denmark,137.0,446.0,592.0,759.0,1074.0,1107.0,385.0,275.0,10.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Germany,2735.0,707.0,851.0,9982.0,13168.0,15262.0,4588.0,5783.0,4175.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Estonia,54.0,137.0,247.0,279.0,365.0,358.0,58.0,74.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Ireland,136.0,319.0,369.0,459.0,706.0,857.0,275.0,414.0,515.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Greece,68.0,522.0,122.0,1117.0,1235.0,1533.0,453.0,378.0,376.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Spain,1236.0,4967.0,7646.0,7764.0,9343.0,10586.0,2624.0,5679.0,1375.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
France,3568.0,5536.0,6841.0,7552.0,11258.0,12254.0,5066.0,5297.0,1067.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Croatia,139.0,158.0,239.0,502.0,476.0,624.0,309.0,132.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Italy,564.0,5233.0,6219.0,5228.0,5455.0,6446.0,160.0,3126.0,694.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Cyprus,94.0,143.0,205.0,218.0,241.0,107.0,,,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Latvia,57.0,103.0,154.0,224.0,453.0,79.0,165.0,289.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Lithuania,77.0,181.0,333.0,532.0,1069.0,1028.0,89.0,113.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Luxembourg,,,,37.0,51.0,59.0,,,71.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Hungary,282.0,218.0,461.0,68.0,1405.0,2362.0,702.0,678.0,16.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Malta,,49.0,75.0,91.0,85.0,109.0,42.0,,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Netherlands,1508.0,3126.0,3446.0,3435.0,4261.0,3953.0,1554.0,2104.0,246.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Austria,228.0,487.0,612.0,789.0,1312.0,1634.0,675.0,40.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Poland,93.0,167.0,3111.0,4362.0,6561.0,8712.0,1284.0,1388.0,776.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Portugal,303.0,1538.0,1883.0,1594.0,1733.0,1917.0,681.0,1032.0,444.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Romania,71.0,219.0,659.0,1395.0,3499.0,4931.0,128.0,507.0,2003.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Slovenia,62.0,91.0,123.0,204.0,202.0,184.0,,35.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Slovakia,89.0,145.0,261.0,441.0,879.0,581.0,92.0,69.0,85.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Finland,219.0,403.0,516.0,794.0,120.0,1333.0,451.0,274.0,65.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Sweden,214.0,626.0,1011.0,1432.0,1929.0,2097.0,838.0,727.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Iceland,,162.0,124.0,93.0,87.0,52.0,,,68.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Norway,19.0,369.0,563.0,549.0,814.0,879.0,243.0,214.0,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Switzerland,214.0,654.0,738.0,869.0,1174.0,1293.0,447.0,494.0,45.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
United Kingdom,5753.0,9425.0,1181.0,10322.0,1566.0,17012.0,6497.0,9521.0,1342.0,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
Türkiye,,,,,,,,,,Sheet 27,All ISCED 2011 levels,Cities,15-74,Female
European_Union_27_countries_from_2020,12739.0,32703.0,45533.0,51694.0,70694.0,83316.0,24514.0,29237.0,11967.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
European_Union_29_countries_from_2013-2020,18064.0,41537.0,56362.0,6123.0,85552.0,99521.0,30847.0,3837.0,13221.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Euro_area_19_countries_2015-2022,10655.0,28934.0,38302.0,40623.0,52903.0,5885.0,18447.0,25014.0,8758.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Belgium,348.0,555.0,905.0,978.0,131.0,1426.0,497.0,522.0,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Bulgaria,57.0,167.0,67.0,1148.0,1911.0,2839.0,643.0,302.0,6.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Czechia,418.0,392.0,75.0,989.0,1286.0,2212.0,745.0,358.0,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Denmark,132.0,403.0,54.0,715.0,1032.0,1065.0,361.0,259.0,88.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Germany,252.0,6651.0,8179.0,9658.0,12813.0,14742.0,4442.0,5645.0,399.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Estonia,41.0,124.0,235.0,269.0,332.0,328.0,55.0,62.0,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Ireland,13.0,301.0,351.0,445.0,68.0,829.0,274.0,40.0,493.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Greece,68.0,515.0,1205.0,1109.0,1218.0,1523.0,449.0,376.0,354.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Spain,1191.0,4878.0,7539.0,7676.0,923.0,10406.0,2572.0,559.0,1323.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
France,3424.0,538.0,6661.0,7411.0,1099.0,12032.0,4927.0,5216.0,1054.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Croatia,119.0,148.0,239.0,497.0,466.0,624.0,309.0,124.0,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Italy,495.0,4992.0,6121.0,5126.0,5357.0,628.0,1549.0,307.0,663.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Cyprus,94.0,135.0,198.0,215.0,237.0,105.0,,,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Latvia,57.0,102.0,144.0,203.0,427.0,752.0,159.0,238.0,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Lithuania,71.0,17.0,315.0,511.0,1026.0,977.0,87.0,107.0,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Luxembourg,,,,37.0,51.0,59.0,,,68.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Hungary,24.0,213.0,442.0,667.0,1375.0,2321.0,694.0,662.0,155.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Malta,,46.0,73.0,85.0,83.0,107.0,41.0,,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Netherlands,1367.0,2537.0,3034.0,3207.0,3973.0,3791.0,1518.0,2002.0,223.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Austria,219.0,477.0,607.0,773.0,1276.0,159.0,648.0,377.0,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Poland,856.0,1606.0,301.0,4288.0,6368.0,8464.0,1246.0,1322.0,772.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Portugal,263.0,1457.0,1835.0,1548.0,1683.0,1875.0,663.0,989.0,432.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Romania,71.0,214.0,654.0,1381.0,3494.0,4909.0,127.0,507.0,1992.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Slovenia,59.0,9.0,123.0,202.0,20.0,179.0,,,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Slovakia,79.0,142.0,254.0,419.0,857.0,571.0,89.0,69.0,85.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Finland,186.0,372.0,506.0,75.0,1159.0,1277.0,423.0,266.0,56.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Sweden,,626.0,927.0,1386.0,186.0,2032.0,799.0,69.0,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Iceland,,141.0,107.0,87.0,76.0,48.0,,,64.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Norway,166.0,35.0,52.0,521.0,768.0,838.0,236.0,203.0,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Switzerland,193.0,60.0,70.0,826.0,1145.0,1239.0,436.0,481.0,45.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
United Kingdom,5325.0,8834.0,10829.0,9537.0,14859.0,16206.0,6333.0,9133.0,1254.0,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
Türkiye,,,,,,,,,,Sheet 28,All ISCED 2011 levels,Cities,20-64,Female
European_Union_27_countries_from_2020,5464.0,13202.0,18012.0,20298.0,27374.0,32657.0,9528.0,11091.0,445.0,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
European_Union_29_countries_from_2013-2020,7548.0,16211.0,21825.0,23736.0,32851.0,38173.0,11746.0,14309.0,4947.0,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Euro_area_19_countries_2015-2022,4423.0,11645.0,14938.0,15731.0,19936.0,22141.0,6928.0,9387.0,3054.0,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Belgium,166.0,248.0,317.0,367.0,518.0,58.0,175.0,20.0,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Bulgaria,,66.0,285.0,477.0,83.0,115.0,264.0,107.0,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Czechia,23.0,19.0,30.0,44.0,498.0,1066.0,322.0,159.0,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Denmark,48.0,112.0,18.0,23.0,336.0,315.0,133.0,52.0,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Germany,906.0,230.0,2853.0,3421.0,4249.0,4784.0,1312.0,1718.0,1405.0,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Estonia,,52.0,75.0,108.0,115.0,111.0,,,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Ireland,55.0,11.0,138.0,189.0,277.0,314.0,119.0,184.0,181.0,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Greece,4.0,254.0,564.0,494.0,606.0,699.0,181.0,165.0,144.0,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Spain,606.0,2218.0,3326.0,3501.0,4043.0,4543.0,1024.0,223.0,436.0,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
France,137.0,2106.0,2584.0,287.0,3852.0,444.0,2051.0,1963.0,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Croatia,48.0,8.0,109.0,253.0,177.0,284.0,135.0,,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Italy,219.0,2239.0,2443.0,2042.0,218.0,2464.0,637.0,1441.0,283.0,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Cyprus,38.0,53.0,72.0,77.0,83.0,48.0,,,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Latvia,,4.0,55.0,71.0,134.0,295.0,56.0,99.0,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Lithuania,,6.0,102.0,189.0,363.0,322.0,,,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Luxembourg,,,,,,,,,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Hungary,148.0,96.0,147.0,311.0,659.0,100.0,318.0,284.0,104.0,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
Malta,,,,,,,,,,Sheet 29,All ISCED 2011 levels,Cities,35-49,Female
